コード,sector,industry
9330,Communication Services,Advertising Agencies
6844,Technology,Electronic Components
2883,Industrials,Specialty Industrial Machinery
6069,Communication Services,Advertising Agencies
2806,Consumer Defensive,Packaged Foods
7501,Consumer Cyclical,Specialty Retail
6248,Industrials,Specialty Industrial Machinery
3772,Real Estate,Real Estate - Diversified
6033,Communication Services,Electronic Gaming & Multimedia
6489,Industrials,Pollution & Treatment Controls
8707,Financial Services,Capital Markets
2411,Communication Services,Advertising Agencies
6769,Technology,Semiconductors
7938,Consumer Cyclical,Footwear & Accessories
4616,Basic Materials,Specialty Chemicals
4880,Healthcare,Biotechnology
7447,Consumer Cyclical,Apparel Manufacturing
6809,Industrials,Security & Protection Services
1964,Industrials,Specialty Industrial Machinery
7962,Industrials,Business Equipment & Supplies
7804,Communication Services,Advertising Agencies
9986,Industrials,Industrial Distribution
5302,Basic Materials,Specialty Chemicals
9753,Technology,Information Technology Services
8118,Consumer Cyclical,Textile Manufacturing
7483,Industrials,Conglomerates
6864,Technology,Electronic Components
130A,Healthcare,Biotechnology
3611,Consumer Cyclical,Apparel Manufacturing
1911,Consumer Cyclical,Residential Construction
2349,Technology,Information Technology Services
9827,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
7813,Healthcare,Medical Instruments & Supplies
3948,Industrials,Specialty Business Services
6763,Industrials,Electrical Equipment & Parts
4769,Technology,Information Technology Services
7723,Technology,Scientific & Technical Instruments
7417,Industrials,Industrial Distribution
4619,Consumer Cyclical,Auto Parts
6345,Industrials,Farm & Heavy Construction Machinery
8945,Real Estate,Real Estate Services
8043,Consumer Defensive,Packaged Foods
3636,Technology,Information Technology Services
6405,Industrials,Specialty Industrial Machinery
4356,Technology,Information Technology Services
6901,Consumer Cyclical,Auto Parts
7590,Consumer Cyclical,Home Improvement Retail
6209,Consumer Cyclical,Auto Parts
1810,Industrials,Engineering & Construction
9698,Technology,Software - Application
6282,Industrials,Tools & Accessories
9994,Consumer Defensive,Beverages - Brewers
256A,Industrials,Engineering & Construction
6267,Industrials,Specialty Industrial Machinery
7039,Industrials,Consulting Services
8006,Consumer Defensive,Food Distribution
7749,Healthcare,Medical Instruments & Supplies
3571,Consumer Cyclical,Textile Manufacturing
3670,Technology,Information Technology Services
7067,Communication Services,Advertising Agencies
4069,Technology,Software - Application
3913,Technology,Software - Application
7800,Consumer Cyclical,Packaging & Containers
7459,Healthcare,Medical Distribution
1514,Energy,Thermal Coal
2831,Consumer Defensive,Packaged Foods
7112,Consumer Cyclical,Apparel Manufacturing
3848,Technology,Software - Application
4997,Basic Materials,Agricultural Inputs
6156,Industrials,Tools & Accessories
1997,Industrials,Engineering & Construction
4883,Healthcare,Drug Manufacturers - Specialty & Generic
6157,Industrials,Tools & Accessories
6445,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
5186,Industrials,Specialty Industrial Machinery
6926,Technology,Electronic Components
5122,Basic Materials,Specialty Chemicals
7305,Basic Materials,Steel
6246,Industrials,Specialty Industrial Machinery
7087,Technology,Semiconductors
9991,Industrials,Rental & Leasing Services
3159,Consumer Cyclical,Specialty Retail
1960,Industrials,Engineering & Construction
3627,Technology,Software - Infrastructure
3482,Real Estate,Real Estate Services
2153,Industrials,Engineering & Construction
2908,Consumer Defensive,Packaged Foods
3529,Consumer Cyclical,Apparel Manufacturing
9441,Consumer Cyclical,Specialty Retail
4719,Technology,Software - Application
6291,Industrials,Pollution & Treatment Controls
9622,Industrials,Engineering & Construction
9341,Healthcare,Medical Devices
9780,Industrials,Specialty Business Services
6103,Industrials,Specialty Industrial Machinery
6863,Technology,Scientific & Technical Instruments
5939,Industrials,Electrical Equipment & Parts
7525,Industrials,Specialty Industrial Machinery
4247,Basic Materials,Specialty Chemicals
6286,Industrials,Specialty Industrial Machinery
8219,Consumer Cyclical,Apparel Retail
1762,Industrials,Engineering & Construction
3559,Technology,Electronic Components
3355,Industrials,Industrial Distribution
4270,Technology,Software - Infrastructure
6898,Technology,Consumer Electronics
5619,Healthcare,Health Information Services
6230,Industrials,Building Products & Equipment
7931,Industrials,Electrical Equipment & Parts
3825,Utilities,Utilities - Regulated Electric
3665,Consumer Cyclical,Internet Retail
198A,Technology,Software - Application
4287,Technology,Computer Hardware
5982,Industrials,Specialty Industrial Machinery
7482,Consumer Cyclical,Packaging & Containers
6998,Industrials,Metal Fabrication
8154,Technology,Electronic Components
1835,Industrials,Engineering & Construction
7294,Consumer Cyclical,Auto Parts
1828,Industrials,Engineering & Construction
8018,Consumer Cyclical,Apparel Retail
6364,Industrials,Specialty Industrial Machinery
4265,Industrials,Staffing & Employment Services
9476,Communication Services,Publishing
