コード,終値,日付
9987.T,5127.0,2026-07-23
5659.T,1506.0,2026-07-23
8927.T,456.0,2026-07-23
2493.T,943.0,2026-07-23
5423.T,1715.0,2026-07-23
2186.T,916.0,2026-07-23
2475.T,1813.0,2026-07-23
5273.T,1743.0,2026-07-23
7222.T,948.0,2026-07-23
6307.T,449.0,2026-07-23
6824.T,4750.0,2026-07-23
2722.T,357.0,2026-07-23
2733.T,2580.0,2026-07-23
3490.T,3030.0,2026-07-23
4362.T,2620.0,2026-07-23
6888.T,476.0,2026-07-23
2122.T,1395.0,2026-07-23
9709.T,1283.0,2026-07-23
3059.T,710.0,2026-07-23
6995.T,3195.0,2026-07-23
4027.T,2417.0,2026-07-23
6459.T,1683.0,2026-07-23
3598.T,161.0,2026-07-23
9856.T,1187.0,2026-07-23
3245.T,1082.0,2026-07-23
6351.T,2173.0,2026-07-23
1967.T,2025.0,2026-07-23
4178.T,510.0,2026-07-23
4249.T,2545.0,2026-07-23
3183.T,1314.0,2026-07-23
3950.T,1455.0,2026-07-23
4951.T,1535.0,2026-07-23
3624.T,74.0,2026-07-23
9715.T,3690.0,2026-07-23
6850.T,1618.0,2026-07-23
2784.T,2317.5,2026-07-23
4977.T,1347.0,2026-07-23
442A.T,962.0,2026-07-23
7863.T,944.0,2026-07-22
6662.T,214.0,2026-07-23
4881.T,68.0,2026-07-23
6677.T,3435.0,2026-07-23
2916.T,753.0,2026-07-23
3201.T,1866.0,2026-07-23
9273.T,780.0,2026-07-23
1382.T,1118.0,2026-07-23
547A.T,457.0,2026-07-23
5602.T,1491.0,2026-07-23
1992.T,2962.0,2026-07-23
1941.T,5080.0,2026-07-23
2815.T,5200.0,2026-07-23
6663.T,303.0,2026-07-23
5590.T,688.0,2026-07-23
7927.T,2369.0,2026-07-23
5445.T,1949.0,2026-07-23
8624.T,1583.0,2026-07-23
7172.T,2154.0,2026-07-23
8508.T,836.0,2026-07-23
6198.T,226.0,2026-07-23
8065.T,3080.0,2026-07-23
4882.T,147.0,2026-07-23
7270.T,2611.5,2026-07-23
6466.T,4235.0,2026-07-23
2477.T,2379.0,2026-07-23
8934.T,2511.0,2026-07-23
6340.T,4330.0,2026-07-23
8928.T,2265.0,2026-07-23
3678.T,1249.0,2026-07-23
9629.T,1405.0,2026-07-23
5660.T,1851.0,2026-07-23
2152.T,1532.0,2026-07-23
7949.T,2634.0,2026-07-23
7673.T,1663.0,2026-07-23
7803.T,364.0,2026-07-23
3172.T,1152.0,2026-07-23
6333.T,3200.0,2026-07-23
3963.T,337.0,2026-07-23
5035.T,355.0,2026-07-23
9127.T,2809.0,2026-07-23
6391.T,4400.0,2026-07-23
9212.T,276.0,2026-07-23
2915.T,2040.0,2026-07-23
7231.T,2917.0,2026-07-23
9849.T,4475.0,2026-07-22
4667.T,1881.0,2026-07-23
6070.T,2381.0,2026-07-23
6932.T,2561.0,2026-07-23
8051.T,1758.0,2026-07-23
5463.T,1799.0,2026-07-23
5563.T,425.0,2026-07-23
6167.T,961.0,2026-07-23
5947.T,3578.0,2026-07-23
4526.T,3115.0,2026-07-23
9225.T,962.0,2026-07-22
5941.T,2639.0,2026-07-23
5868.T,953.0,2026-07-23
9768.T,3390.0,2026-07-23
1938.T,2517.0,2026-07-23
9930.T,372.0,2026-07-23
5185.T,1851.0,2026-07-23
7480.T,2435.0,2026-07-23
1720.T,1174.0,2026-07-23
9265.T,3545.0,2026-07-23
1435.T,166.0,2026-07-23
2332.T,1706.0,2026-07-23
5192.T,4070.0,2026-07-23
5973.T,604.0,2026-07-23
6191.T,865.0,2026-07-23
2737.T,16630.0,2026-07-23
4491.T,3135.0,2026-07-23
6455.T,2451.0,2026-07-23
3333.T,1327.0,2026-07-23
1930.T,1612.0,2026-07-23
4097.T,1129.0,2026-07-23
8704.T,1298.0,2026-07-23
5262.T,1023.0,2026-07-23
2335.T,1081.0,2026-07-23
1662.T,1770.0,2026-07-23
3991.T,925.0,2026-07-23
6272.T,1516.0,2026-07-23
6379.T,2582.0,2026-07-23
4914.T,1195.0,2026-07-23
4220.T,1829.0,2026-07-23
6803.T,98.0,2026-07-23
4310.T,2550.0,2026-07-23
6203.T,1442.0,2026-07-23
7976.T,2587.0,2026-07-23
1852.T,863.0,2026-07-23
2341.T,168.0,2026-07-23
7864.T,3020.0,2026-07-23
4012.T,1743.0,2026-07-23
4465.T,2271.0,2026-07-23
7702.T,469.0,2026-07-23
2305.T,1947.0,2026-07-23
5268.T,833.0,2026-07-23
6770.T,2156.0,2026-07-23
6395.T,1323.0,2026-07-23
6675.T,2013.0,2026-07-23
206A.T,149.0,2026-07-23
2975.T,1532.0,2026-07-23
2342.T,219.0,2026-07-23
6788.T,4600.0,2026-07-23
4053.T,452.0,2026-07-23
4516.T,4017.0,2026-07-23
3934.T,2209.0,2026-07-23
4750.T,558.0,2026-07-23
6143.T,1791.0,2026-07-23
2114.T,637.0,2026-07-23
4577.T,1276.0,2026-07-23
3773.T,1074.0,2026-07-23
4956.T,1436.0,2026-07-23
4284.T,443.0,2026-07-23
4792.T,1708.0,2026-07-23
6381.T,1769.0,2026-07-23
7921.T,4365.0,2026-07-23
6339.T,1169.0,2026-07-23
9438.T,610.0,2026-07-23
3465.T,3620.0,2026-07-23
6643.T,5420.0,2026-07-23
8898.T,1124.0,2026-07-23
9621.T,2950.0,2026-07-23
7255.T,515.0,2026-07-23
4840.T,578.0,2026-07-23
3288.T,8408.0,2026-07-23
3284.T,1231.0,2026-07-23
7717.T,6610.0,2026-07-23
7951.T,1223.5,2026-07-23
1518.T,1953.0,2026-07-23
4171.T,1664.0,2026-07-23
1814.T,3615.0,2026-07-23
1844.T,501.0,2026-07-23
4238.T,1707.0,2026-07-23
4931.T,2020.0,2026-07-23
9233.T,1112.0,2026-07-23
7514.T,872.0,2026-07-23
4673.T,4820.0,2026-07-23
137A.T,734.0,2026-07-23
3918.T,1215.0,2026-07-23
4167.T,304.0,2026-07-23
4922.T,5498.0,2026-07-23
2325.T,4365.0,2026-07-23
6772.T,1060.0,2026-07-23
3834.T,636.0,2026-07-23
3445.T,6660.0,2026-07-23
2876.T,489.0,2026-07-23
6853.T,777.0,2026-07-23
2292.T,2753.0,2026-07-23
9782.T,3465.0,2026-07-23
2169.T,1707.0,2026-07-23
4595.T,1648.0,2026-07-23
2907.T,1525.0,2026-07-23
6250.T,3825.0,2026-07-23
5011.T,2154.0,2026-07-23
6822.T,5500.0,2026-07-23
3042.T,296.0,2026-07-23
6420.T,3285.0,2026-07-23
8227.T,3325.0,2026-07-23
2454.T,343.0,2026-07-23
4317.T,504.0,2026-07-23
6546.T,1133.0,2026-07-23
7217.T,428.0,2026-07-23
6535.T,530.0,2026-07-23
6392.T,7460.0,2026-07-23
9687.T,4480.0,2026-07-23
5126.T,1649.0,2026-07-23
5484.T,4450.0,2026-07-23
2652.T,432.0,2026-07-23
9904.T,243.0,2026-07-23
4891.T,100.0,2026-07-23
7725.T,1783.0,2026-07-23
302A.T,595.0,2026-07-23
4334.T,381.0,2026-07-23
6238.T,1355.0,2026-07-23
4668.T,777.0,2026-07-23
6378.T,1215.0,2026-07-23
8285.T,689.0,2026-07-23
7095.T,1158.0,2026-07-23
4218.T,1910.0,2026-07-23
6849.T,1521.0,2026-07-23
1827.T,1393.0,2026-07-23
7072.T,1044.0,2026-07-23
4958.T,3260.0,2026-07-23
7942.T,2469.0,2026-07-23
7981.T,3085.0,2026-07-23
6786.T,48.0,2026-07-23
1491.T,715.0,2026-07-23
7846.T,1758.0,2026-07-23
6750.T,1820.0,2026-07-23
4586.T,64.0,2026-07-23
8129.T,3983.0,2026-07-23
1381.T,3455.0,2026-07-23
6908.T,2803.0,2026-07-23
2438.T,334.0,2026-07-23
7500.T,9860.0,2026-07-23
2670.T,2630.0,2026-07-23
4599.T,300.0,2026-07-23
4025.T,5110.0,2026-07-23
6190.T,358.0,2026-07-23
3904.T,412.0,2026-07-23
5974.T,862.0,2026-07-23
6929.T,3700.0,2026-07-23
8518.T,125.0,2026-07-23
4694.T,3540.0,2026-07-23
4248.T,861.0,2026-07-23
1968.T,2468.0,2026-07-23
7377.T,1745.0,2026-07-23
9729.T,2407.0,2026-07-23
6432.T,7600.0,2026-07-23
9763.T,1253.0,2026-07-23
8614.T,680.0,2026-07-23
4424.T,328.0,2026-07-23
3138.T,1170.0,2026-07-23
4391.T,1156.0,2026-07-23
6518.T,1891.0,2026-07-23
1934.T,2336.0,2026-07-23
2183.T,208.0,2026-07-23
4427.T,195.0,2026-07-23
1861.T,1470.0,2026-07-23
6332.T,2661.0,2026-07-23
4416.T,435.0,2026-07-23
7883.T,391.0,2026-07-23
6369.T,2440.0,2026-07-23
9107.T,2790.0,2026-07-23
6138.T,1230.0,2026-07-23
7277.T,334.0,2026-07-23
1433.T,1151.0,2026-07-23
3623.T,1022.0,2026-07-23
2301.T,1618.0,2026-07-23
4251.T,1228.0,2026-07-23
9837.T,1812.0,2026-07-23
7506.T,1398.0,2026-07-23
9692.T,2217.0,2026-07-23
8012.T,1207.0,2026-07-23
1950.T,4125.0,2026-07-23
6875.T,9540.0,2026-07-23
3909.T,203.0,2026-07-23
1870.T,1912.0,2026-07-23
3723.T,2559.0,2026-07-23
2981.T,2056.0,2026-07-23
6877.T,5780.0,2026-07-23
7042.T,659.0,2026-07-23
1904.T,5160.0,2026-07-23
3842.T,972.0,2026-07-23
6140.T,1146.0,2026-07-23
6081.T,161.0,2026-07-23
1929.T,1140.0,2026-07-23
9605.T,5720.0,2026-07-23
6620.T,690.0,2026-07-23
6287.T,2446.0,2026-07-23
7038.T,565.0,2026-07-23
4401.T,4136.0,2026-07-23
6306.T,962.0,2026-07-23
9612.T,1274.0,2026-07-23
7811.T,1925.0,2026-07-23
3625.T,571.0,2026-07-23
1982.T,2913.0,2026-07-23
7986.T,1898.0,2026-07-23
2669.T,3980.0,2026-07-23
3242.T,498.0,2026-07-23
3035.T,786.0,2026-07-23
6199.T,1257.0,2026-07-23
4042.T,2843.0,2026-07-23
4849.T,1237.0,2026-07-23
166A.T,1066.0,2026-07-23
3998.T,308.0,2026-07-23
9242.T,2014.0,2026-07-23
264A.T,284.0,2026-07-23
6458.T,1240.0,2026-07-23
7413.T,2621.0,2026-07-23
542A.T,1069.0,2026-07-23
3001.T,2650.0,2026-07-23
3486.T,1920.0,2026-07-23
3467.T,2800.0,2026-07-23
8037.T,3755.0,2026-07-23
4064.T,3335.0,2026-07-23
5355.T,679.0,2026-07-23
9165.T,1721.0,2026-07-23
7990.T,2469.0,2026-07-23
7984.T,855.6,2026-07-23
3733.T,10100.0,2026-07-23
9740.T,2731.0,2026-07-23
8157.T,4000.0,2026-07-23
4206.T,3655.0,2026-07-23
7226.T,2356.0,2026-07-23
1663.T,1833.0,2026-07-23
7309.T,18685.0,2026-07-23
2136.T,1467.0,2026-07-23
5444.T,13040.0,2026-07-23
6612.T,630.0,2026-07-23
4929.T,740.0,2026-07-23
9743.T,1389.0,2026-07-23
177A.T,900.0,2026-07-23
6648.T,1755.0,2026-07-23
3926.T,374.0,2026-07-23
7244.T,526.0,2026-07-23
3371.T,2015.0,2026-07-23
4052.T,330.0,2026-07-23
3195.T,598.0,2026-07-23
4262.T,1346.0,2026-07-23
4634.T,4550.0,2026-07-23
6255.T,611.0,2026-07-23
6470.T,1080.0,2026-07-23
7416.T,694.0,2026-07-23
6277.T,4920.0,2026-07-23
343A.T,1382.0,2026-07-23
6185.T,395.0,2026-07-23
7284.T,1164.0,2026-07-23
5965.T,1178.0,2026-07-23
3817.T,4540.0,2026-07-23
4479.T,969.0,2026-07-23
387A.T,990.0,2026-07-23
9240.T,400.0,2026-07-23
1783.T,49.0,2026-07-23
2296.T,4825.0,2026-07-23
4114.T,2143.5,2026-07-23
6171.T,378.0,2026-07-23
4633.T,2484.0,2026-07-23
5367.T,1265.0,2026-07-23
265A.T,673.0,2026-07-23
6633.T,328.0,2026-07-23
3107.T,3467.0,2026-07-23
4044.T,4160.0,2026-07-23
3996.T,203.0,2026-07-23
8079.T,4370.0,2026-07-23
3969.T,1400.0,2026-07-23
7819.T,890.0,2026-07-23
415A.T,4920.0,2026-07-22
6586.T,5689.0,2026-07-23
7057.T,931.0,2026-07-23
9347.T,2756.0,2026-07-23
3028.T,2171.0,2026-07-23
4886.T,2212.0,2026-07-23
7596.T,2314.0,2026-07-23
3181.T,1073.0,2026-07-23
3132.T,3409.0,2026-07-23
410A.T,1126.0,2026-07-23
3659.T,2247.0,2026-07-23
5970.T,2126.0,2026-07-23
9036.T,1385.0,2026-07-23
9401.T,6101.0,2026-07-23
3675.T,586.0,2026-07-23
5888.T,2799.0,2026-07-23
4198.T,496.0,2026-07-23
3070.T,81.0,2026-07-23
3912.T,1125.0,2026-07-23
4031.T,1115.0,2026-07-23
3374.T,3430.0,2026-07-23
2498.T,3175.0,2026-07-23
7102.T,3710.0,2026-07-23
4440.T,1152.0,2026-07-23
6363.T,2859.0,2026-07-23
7856.T,1792.0,2026-07-23
5284.T,2226.0,2026-07-23
1438.T,1945.0,2026-07-22
9788.T,530.0,2026-07-23
1979.T,4480.0,2026-07-23
6424.T,904.0,2026-07-23
2370.T,24.0,2026-07-23
4124.T,2680.0,2026-07-23
3945.T,2265.0,2026-07-23
1882.T,1604.0,2026-07-23
3858.T,301.0,2026-07-23
7374.T,1525.0,2026-07-23
2433.T,1219.5,2026-07-23
4892.T,532.0,2026-07-23
6902.T,1993.0,2026-07-23
4205.T,2256.0,2026-07-23
4078.T,4145.0,2026-07-23
7049.T,863.0,2026-07-23
7979.T,2121.0,2026-07-23
7608.T,783.0,2026-07-23
5103.T,21.0,2026-07-23
4028.T,3020.0,2026-07-23
7505.T,2259.0,2026-07-23
4687.T,976.0,2026-07-23
7911.T,4930.0,2026-07-23
3569.T,3205.0,2026-07-23
7360.T,644.0,2026-07-23
5936.T,915.0,2026-07-23
8283.T,6610.0,2026-07-23
5013.T,2959.0,2026-07-23
7048.T,154.0,2026-07-23
4113.T,823.0,2026-07-23
3915.T,2123.0,2026-07-23
1808.T,2767.0,2026-07-23
4488.T,2087.0,2026-07-23
1717.T,935.0,2026-07-23
4826.T,506.0,2026-07-23
4197.T,2321.0,2026-07-23
4447.T,467.0,2026-07-23
4884.T,319.0,2026-07-23
5244.T,169.0,2026-07-23
5161.T,3170.0,2026-07-23
6859.T,4260.0,2026-07-23
2060.T,1284.0,2026-07-23
7943.T,3035.0,2026-07-23
7836.T,81.0,2026-07-23
4642.T,1410.0,2026-07-23
4664.T,920.0,2026-07-23
2440.T,122.0,2026-07-23
3648.T,1135.0,2026-07-23
6223.T,2047.0,2026-07-23
3662.T,1009.0,2026-07-23
9716.T,1192.0,2026-07-23
2480.T,1700.0,2026-07-23
3937.T,1008.0,2026-07-23
7963.T,1800.0,2026-07-23
4445.T,1699.0,2026-07-23
7043.T,872.0,2026-07-23
4272.T,1988.0,2026-07-23
6371.T,2614.0,2026-07-23
6145.T,2640.0,2026-07-23
9934.T,2793.5,2026-07-23
2436.T,602.0,2026-07-23
2003.T,1822.0,2026-07-23
5834.T,2798.0,2026-07-23
9467.T,1009.0,2026-07-23
4685.T,2837.0,2026-07-23
4662.T,1728.0,2026-07-23
1813.T,2748.0,2026-07-23
6090.T,590.0,2026-07-23
2311.T,767.0,2026-07-23
5821.T,3110.0,2026-07-23
9702.T,2242.0,2026-07-23
4926.T,1236.0,2026-07-23
4335.T,1104.0,2026-07-23
2910.T,1359.0,2026-07-23
241A.T,399.0,2026-07-23
4263.T,714.0,2026-07-23
1736.T,2550.0,2026-07-23
4169.T,226.0,2026-07-23
4414.T,1238.0,2026-07-23
7058.T,3180.0,2026-07-23
9213.T,1050.0,2026-07-23
4008.T,1300.0,2026-07-23
2207.T,3150.0,2026-07-23
2676.T,2038.0,2026-07-23
4671.T,2683.0,2026-07-23
1766.T,13030.0,2026-07-23
5589.T,2703.0,2026-07-23
6029.T,198.0,2026-07-23
6289.T,1846.0,2026-07-23
3988.T,550.0,2026-07-23
7609.T,3540.0,2026-07-23
7917.T,1407.0,2026-07-23
2120.T,196.0,2026-07-23
3907.T,1054.0,2026-07-23
3076.T,2684.0,2026-07-23
7980.T,822.0,2026-07-23
2602.T,1930.0,2026-07-23
6294.T,2019.0,2026-07-23
4361.T,1497.0,2026-07-23
9543.T,1253.0,2026-07-23
4068.T,1635.0,2026-07-23
5729.T,1564.0,2026-07-23
4476.T,1060.0,2026-07-23
3835.T,417.0,2026-07-23
2983.T,1532.0,2026-07-23
6644.T,1518.0,2026-07-23
7970.T,2477.0,2026-07-23
7211.T,372.1,2026-07-23
7687.T,421.0,2026-07-23
9244.T,1199.0,2026-07-23
2359.T,1989.0,2026-07-23
5121.T,2489.0,2026-07-23
6448.T,3950.0,2026-07-23
2930.T,120.0,2026-07-23
2437.T,595.0,2026-07-23
2488.T,1410.0,2026-07-23
4212.T,2685.0,2026-07-23
1719.T,1826.5,2026-07-23
7148.T,1576.0,2026-07-23
3974.T,604.0,2026-07-23
7438.T,1548.0,2026-07-23
4464.T,3560.0,2026-07-22
4832.T,2026.0,2026-07-23
157A.T,834.0,2026-07-23
7727.T,729.0,2026-07-23
4041.T,3780.0,2026-07-23
2767.T,1466.0,2026-07-23
3361.T,880.0,2026-07-23
7988.T,5148.0,2026-07-23
4814.T,152.0,2026-07-23
261A.T,2019.0,2026-07-23
9558.T,1920.0,2026-07-23
9982.T,2342.0,2026-07-23
4346.T,801.0,2026-07-23
6408.T,4130.0,2026-07-23
2391.T,1217.0,2026-07-23
5025.T,540.0,2026-07-23
6659.T,50.0,2026-07-23
7343.T,1210.0,2026-07-23
2790.T,2228.0,2026-07-23
2982.T,412.0,2026-07-23
6328.T,2420.0,2026-07-23
7513.T,1343.0,2026-07-23
8005.T,1711.0,2026-07-23
8022.T,3595.0,2026-07-23
4462.T,2977.0,2026-07-23
6554.T,1043.0,2026-07-23
291A.T,1752.0,2026-07-23
4746.T,4805.0,2026-07-23
9219.T,865.0,2026-07-23
3608.T,1228.0,2026-07-23
3440.T,884.0,2026-07-23
9214.T,1265.0,2026-07-23
3970.T,805.0,2026-07-23
7744.T,2014.0,2026-07-23
7555.T,742.0,2026-07-23
6073.T,1500.0,2026-07-23
7575.T,1378.0,2026-07-23
5208.T,2564.0,2026-07-23
5015.T,993.0,2026-07-23
7971.T,655.0,2026-07-23
7358.T,1472.0,2026-07-23
4380.T,1209.0,2026-07-23
1952.T,3450.0,2026-07-23
9663.T,5130.0,2026-07-23
3548.T,736.0,2026-07-23
472A.T,552.0,2026-07-23
4574.T,261.0,2026-07-23
4221.T,5110.0,2026-07-23
9332.T,625.0,2026-07-23
6823.T,3380.0,2026-07-23
6356.T,1407.0,2026-07-23
3002.T,3960.0,2026-07-23
8841.T,905.0,2026-07-23
2594.T,1973.0,2026-07-23
6094.T,531.0,2026-07-23
2810.T,3850.0,2026-07-23
1945.T,2035.0,2026-07-23
9468.T,3514.0,2026-07-23
6193.T,1036.0,2026-07-23
4496.T,853.0,2026-07-23
3947.T,2240.0,2026-07-23
6798.T,3020.0,2026-07-23
4686.T,3720.0,2026-07-23
7707.T,206.0,2026-07-23
3280.T,920.0,2026-07-23
3917.T,475.0,2026-07-23
9791.T,1223.0,2026-07-23
4763.T,1481.0,2026-07-23
7066.T,430.0,2026-07-23
5195.T,2303.0,2026-07-23
4743.T,1681.0,2026-07-23
9742.T,2164.0,2026-07-23
6731.T,108.0,2026-07-23
2978.T,350.0,2026-07-23
4617.T,3675.0,2026-07-23
149A.T,761.0,2026-07-23
4439.T,791.0,2026-07-23
6925.T,4234.0,2026-07-23
9632.T,3590.0,2026-07-23
416A.T,1190.0,2026-07-23
7060.T,625.0,2026-07-23
4507.T,2848.0,2026-07-23
3779.T,132.0,2026-07-23
4674.T,1548.0,2026-07-23
7875.T,832.0,2026-07-23
5139.T,893.0,2026-07-23
6413.T,1032.0,2026-07-23
3179.T,1238.0,2026-07-23
5901.T,4061.0,2026-07-23
6960.T,11310.0,2026-07-23
4216.T,6420.0,2026-07-23
4486.T,658.0,2026-07-23
6357.T,2388.0,2026-07-23
7093.T,538.0,2026-07-23
3667.T,29.0,2026-07-23
2286.T,902.0,2026-07-23
2148.T,1174.0,2026-07-23
9340.T,705.0,2026-07-23
8908.T,869.0,2026-07-23
6563.T,499.0,2026-07-23
4020.T,684.0,2026-07-23
480A.T,998.0,2026-07-23
8074.T,5610.0,2026-07-23
2708.T,1987.0,2026-07-23
6460.T,2431.0,2026-07-23
5987.T,1704.0,2026-07-23
4290.T,656.0,2026-07-23
3151.T,1649.0,2026-07-23
334A.T,906.0,2026-07-23
9101.T,5817.0,2026-07-23
5949.T,1306.0,2026-07-23
7893.T,1159.0,2026-07-23
4845.T,341.0,2026-07-23
3672.T,29.0,2026-07-23
5570.T,620.0,2026-07-23
5582.T,1912.0,2026-07-23
6093.T,160.0,2026-07-23
6904.T,449.0,2026-07-23
1963.T,2316.5,2026-07-23
7822.T,243.0,2026-07-23
6135.T,14860.0,2026-07-23
4428.T,730.0,2026-07-23
332A.T,986.0,2026-07-23
4973.T,5140.0,2026-07-23
7637.T,3465.0,2026-07-23
9381.T,2354.0,2026-07-23
5922.T,19790.0,2026-07-23
3153.T,2892.0,2026-07-23
9346.T,1618.0,2026-07-23
4074.T,912.0,2026-07-23
5471.T,2391.5,2026-07-23
2307.T,986.0,2026-07-23
4450.T,2178.0,2026-07-23
1885.T,2057.0,2026-07-23
3004.T,2250.0,2026-07-23
7715.T,3900.0,2026-07-23
5331.T,3520.0,2026-07-23
7522.T,937.0,2026-07-23
6266.T,4860.0,2026-07-23
9353.T,3060.0,2026-07-23
4175.T,2720.0,2026-07-23
2266.T,1094.0,2026-07-23
7740.T,1121.0,2026-07-23
1871.T,2245.0,2026-07-23
6486.T,2983.0,2026-07-23
4045.T,1770.0,2026-07-23
2429.T,2726.0,2026-07-23
7745.T,2895.0,2026-07-23
3106.T,10020.0,2026-07-23
340A.T,313.0,2026-07-23
6298.T,1196.0,2026-07-23
6087.T,3420.0,2026-07-23
6436.T,3848.0,2026-07-23
7731.T,2222.0,2026-07-23
5247.T,549.0,2026-07-23
6080.T,3735.0,2026-07-23
2926.T,108.0,2026-07-23
6044.T,1880.0,2026-07-23
7138.T,141.0,2026-07-23
4370.T,307.0,2026-07-23
6835.T,246.0,2026-07-23
3686.T,68.0,2026-07-23
6837.T,348.0,2026-07-23
5134.T,533.0,2026-07-23
4477.T,299.0,2026-07-23
1414.T,1275.0,2026-07-23
3865.T,930.0,2026-07-23
6046.T,126.0,2026-07-23
1718.T,7060.0,2026-07-23
3920.T,993.0,2026-07-23
2689.T,1922.0,2026-07-23
2892.T,4510.0,2026-07-23
3836.T,1208.0,2026-07-23
3173.T,1045.0,2026-07-23
9405.T,835.0,2026-07-23
3560.T,4240.0,2026-07-23
1418.T,592.0,2026-07-23
7912.T,3163.0,2026-07-23
5071.T,1395.0,2026-07-23
6176.T,922.0,2026-07-23
7078.T,342.0,2026-07-23
4420.T,769.0,2026-07-23
6258.T,2977.0,2026-07-23
3452.T,1468.0,2026-07-23
3925.T,1225.0,2026-07-23
9551.T,3230.0,2026-07-23
4576.T,79.0,2026-07-23
4046.T,1789.0,2026-07-23
9765.T,1121.0,2026-07-23
3844.T,1346.0,2026-07-23
5288.T,1525.0,2026-07-23
6113.T,2909.5,2026-07-23
3036.T,2596.0,2026-07-23
2811.T,2677.0,2026-07-23
2764.T,139.0,2026-07-23
2173.T,718.0,2026-07-23
3475.T,1483.0,2026-07-23
5867.T,1190.0,2026-07-23
9790.T,3100.0,2026-07-23
4641.T,824.0,2026-07-23
9832.T,1508.0,2026-07-23
9610.T,116.0,2026-07-23
4366.T,450.0,2026-07-23
6331.T,3400.0,2026-07-23
3798.T,548.0,2026-07-23
7456.T,5620.0,2026-07-23
4733.T,7015.0,2026-07-23
3634.T,574.0,2026-07-23
4318.T,778.0,2026-07-23
7779.T,227.0,2026-07-23
3169.T,645.0,2026-07-23
6952.T,1767.0,2026-07-23
1939.T,1993.0,2026-07-23
5644.T,7710.0,2026-07-23
5851.T,2524.0,2026-07-23
9869.T,6160.0,2026-07-23
6347.T,262.0,2026-07-23
190A.T,77.0,2026-07-23
8117.T,2085.0,2026-07-23
6035.T,704.0,2026-07-23
7552.T,3020.0,2026-07-23
2294.T,2588.0,2026-07-23
7994.T,2294.0,2026-07-23
7476.T,2422.5,2026-07-23
5599.T,1114.0,2026-07-23
7490.T,2189.0,2026-07-22
6273.T,72960.0,2026-07-23
3542.T,1295.0,2026-07-23
1833.T,5730.0,2026-07-23
7809.T,1309.0,2026-07-23
7987.T,576.0,2026-07-23
8130.T,3005.0,2026-07-23
6180.T,3820.0,2026-07-23
8061.T,2715.0,2026-07-23
9640.T,2051.0,2026-07-23
2760.T,3870.0,2026-07-23
6237.T,5070.0,2026-07-23
7269.T,2044.0,2026-07-23
5133.T,305.0,2026-07-23
2206.T,5052.0,2026-07-23
1434.T,1721.0,2026-07-23
5033.T,898.0,2026-07-23
4972.T,3805.0,2026-07-23
4204.T,2659.5,2026-07-23
1721.T,5193.0,2026-07-23
4665.T,4436.0,2026-07-23
2327.T,3720.0,2026-07-23
6284.T,9350.0,2026-07-23
9236.T,1052.0,2026-07-23
7734.T,3360.0,2026-07-23
2001.T,2793.0,2026-07-23
4344.T,107.0,2026-07-23
1926.T,3840.0,2026-07-23
6961.T,12750.0,2026-07-23
7821.T,1851.0,2026-07-23
7610.T,149.0,2026-07-23
6744.T,4265.0,2026-07-23
2922.T,1990.0,2026-07-23
5930.T,1914.0,2026-07-23
5942.T,654.0,2026-07-23
5955.T,83.0,2026-07-23
5250.T,1034.0,2026-07-23
1444.T,2838.0,2026-07-23
3984.T,1721.0,2026-07-23
9087.T,1934.0,2026-07-22
2002.T,2016.0,2026-07-23
6516.T,5780.0,2026-07-23
6814.T,7340.0,2026-07-23
7131.T,3655.0,2026-07-23
9319.T,1880.0,2026-07-23
1401.T,1264.0,2026-07-23
5975.T,2733.0,2026-07-23
4433.T,882.0,2026-07-23
3657.T,339.0,2026-07-23
8275.T,1005.0,2026-07-23
9684.T,2493.5,2026-07-23
5242.T,1990.0,2026-07-23
9368.T,905.0,2026-07-23
7414.T,1435.0,2026-07-23
3156.T,3535.0,2026-07-23
6840.T,683.0,2026-07-23
6810.T,2117.0,2026-07-23
4326.T,1941.0,2026-07-23
3252.T,2928.0,2026-07-23
7683.T,1428.0,2026-07-23
2315.T,62.0,2026-07-23
3983.T,2150.0,2026-07-23
3935.T,723.0,2026-07-23
6579.T,344.0,2026-07-23
3656.T,219.0,2026-07-23
9830.T,2357.0,2026-07-23
6013.T,3400.0,2026-07-23
9474.T,907.0,2026-07-23
4261.T,3210.0,2026-07-23
9685.T,579.0,2026-07-23
4395.T,750.0,2026-07-23
3489.T,800.0,2026-07-23
7974.T,7001.0,2026-07-23
8739.T,2250.0,2026-07-23
7874.T,963.0,2026-07-23
6653.T,2235.0,2026-07-23
4421.T,925.0,2026-07-23
8008.T,2062.0,2026-07-23
6136.T,3770.0,2026-07-23
7246.T,840.0,2026-07-23
4927.T,1309.5,2026-07-23
6728.T,9986.0,2026-07-23
7080.T,818.0,2026-07-23
3040.T,1995.0,2026-07-23
2432.T,2410.0,2026-07-23
500A.T,2935.0,2026-07-23
6928.T,2572.0,2026-07-23
6195.T,213.0,2026-07-23
6947.T,4545.0,2026-07-23
5279.T,1202.0,2026-07-23
6668.T,3315.0,2026-07-23
7504.T,3730.0,2026-07-23
478A.T,738.0,2026-07-23
3645.T,241.0,2026-07-23
7242.T,4340.0,2026-07-23
2004.T,3455.0,2026-07-23
3180.T,1406.0,2026-07-23
9564.T,529.0,2026-07-23
7325.T,699.0,2026-07-23
368A.T,1359.0,2026-07-23
