コード,終値,日付
4628.T,8910.0,2026-07-23
9478.T,552.0,2026-07-23
4996.T,737.0,2026-07-23
6365.T,5490.0,2026-07-23
189A.T,1016.0,2026-07-23
2385.T,217.0,2026-07-23
9980.T,95.0,2026-07-23
5757.T,5330.0,2026-07-23
6678.T,2063.0,2026-07-23
6463.T,1433.0,2026-07-23
9760.T,119.0,2026-07-23
1899.T,3920.0,2026-07-23
3943.T,1277.0,2026-07-23
1724.T,681.0,2026-07-23
2329.T,500.0,2026-07-23
3580.T,731.0,2026-07-23
6022.T,2470.0,2026-07-23
6915.T,3355.0,2026-07-23
1807.T,1853.0,2026-07-23
7314.T,1238.0,2026-07-23
3653.T,667.0,2026-07-23
9857.T,2442.0,2026-07-23
2911.T,2256.0,2026-07-23
8152.T,7630.0,2026-07-23
373A.T,1490.0,2026-07-23
8202.T,147.0,2026-07-23
3802.T,490.0,2026-07-23
8104.T,691.0,2026-07-23
4925.T,1731.0,2026-07-23
4299.T,1192.0,2026-07-23
6804.T,2772.0,2026-07-23
3434.T,1223.0,2026-07-23
248A.T,827.0,2026-07-23
1826.T,1110.0,2026-07-23
6382.T,1236.0,2026-07-23
8572.T,489.4,2026-07-23
9625.T,1085.0,2026-07-23
4936.T,350.0,2026-07-23
6494.T,98.0,2026-07-23
7689.T,291.0,2026-07-23
2735.T,670.0,2026-07-23
6229.T,1593.0,2026-07-23
2425.T,671.0,2026-07-23
6882.T,1163.0,2026-07-23
9845.T,1533.0,2026-07-23
7952.T,3300.0,2026-07-23
6894.T,2119.0,2026-07-23
7607.T,3130.0,2026-07-23
1770.T,2135.0,2026-07-23
6488.T,977.0,2026-07-23
4120.T,3090.0,2026-07-23
6647.T,2756.0,2026-07-22
7847.T,639.0,2026-07-23
9253.T,711.0,2026-07-22
3291.T,2244.0,2026-07-23
167A.T,2818.0,2026-07-23
7487.T,1794.0,2026-07-23
8622.T,791.0,2026-07-23
5129.T,245.0,2026-07-23
5218.T,1422.0,2026-07-23
3816.T,1125.0,2026-07-23
7128.T,2719.0,2026-07-23
7510.T,2494.0,2026-07-23
1866.T,1125.0,2026-07-23
8616.T,814.0,2026-07-23
3139.T,3445.0,2026-07-23
220A.T,935.0,2026-07-23
9475.T,507.0,2026-07-23
4761.T,1475.0,2026-07-23
3435.T,1423.0,2026-07-23
8705.T,230.0,2026-07-23
1798.T,1100.0,2026-07-23
5449.T,2620.0,2026-07-23
1879.T,2080.0,2026-07-23
4534.T,3120.0,2026-07-23
2009.T,1085.0,2026-07-23
6338.T,1576.0,2026-07-23
5461.T,2093.0,2026-07-23
6104.T,4775.0,2026-07-23
2693.T,410.0,2026-07-23
7185.T,3895.0,2026-07-23
7946.T,368.0,2026-07-23
4547.T,4220.0,2026-07-23
6832.T,2444.0,2026-07-23
7313.T,1785.0,2026-07-23
1847.T,2752.0,2026-07-23
2483.T,2307.0,2026-07-23
1867.T,2773.0,2026-07-23
7228.T,3805.0,2026-07-23
4406.T,201.0,2026-07-23
6265.T,3380.0,2026-07-23
9996.T,2171.0,2026-07-23
9339.T,1345.0,2026-07-23
1811.T,8210.0,2026-07-22
8041.T,4470.0,2026-07-23
5458.T,1234.0,2026-07-23
9908.T,2679.0,2026-07-23
7567.T,524.0,2026-07-23
6030.T,1497.0,2026-07-23
9755.T,2811.0,2026-07-23
5189.T,3670.0,2026-07-23
8101.T,2702.0,2026-07-23
2108.T,4925.0,2026-07-23
4918.T,313.0,2026-07-23
3512.T,990.0,2026-07-23
3089.T,1040.0,2026-07-23
5976.T,1363.0,2026-07-23
1430.T,1008.0,2026-07-23
8871.T,3355.0,2026-07-23
6706.T,3015.0,2026-07-23
1716.T,1400.0,2026-07-23
3766.T,1390.0,2026-07-23
6034.T,632.0,2026-07-23
5820.T,720.0,2026-07-23
6038.T,819.0,2026-07-23
7287.T,2381.0,2026-07-23
9906.T,4080.0,2026-07-23
6737.T,2749.0,2026-07-23
4591.T,77.0,2026-07-23
5906.T,824.0,2026-07-23
6430.T,2363.0,2026-07-23
4429.T,720.0,2026-07-23
3932.T,2898.0,2026-07-23
3437.T,2762.0,2026-07-23
9955.T,2777.0,2026-07-23
6337.T,2414.0,2026-07-23
7523.T,1899.0,2026-07-23
4116.T,1089.0,2026-07-23
9647.T,6730.0,2026-07-22
