コード,銘柄名,ネットキャッシュ比率,ネットキャッシュ(億円),時価総額(億円),流動資産,投資有価証券,負債,決算期,市場
3173.T,Ｃｏｍｉｎｉｘ,0.33,21.7,65.7,19261000000,1270000000,17983000000,2025-03-31,スタンダード（内国株式）
6046.T,リンクバル,0.33,7.7,23.3,1077600000,0,310618000,2025-09-30,スタンダード（内国株式）
2892.T,日本食品化工,0.329,64.0,194.3,28027000000,115000000,21707000000,2025-03-31,スタンダード（内国株式）
6835.T,アライドテレシスホールディングス,0.328,97.8,298.5,37178293000,1892000,27395215000,2025-12-31,スタンダード（内国株式）
3452.T,ビーロット,0.327,86.5,264.8,90053000000,0,81401000000,2025-12-31,スタンダード（内国株式）
2689.T,オルバヘルスケアホールディングス,0.327,39.7,121.4,35586056000,358472000,31863502000,2024-06-30,スタンダード（内国株式）
5071.T,ヴィス,0.325,38.6,118.7,7487246000,329796000,3860345000,2025-03-31,スタンダード（内国株式）
7078.T,ＩＮＣＬＵＳＩＶＥ　Ｈｏｌｄｉｎｇｓ,0.325,12.5,38.4,2747970000,189121000,1633879000,2025-03-31,グロース（内国株式）
4420.T,イーソル,0.324,45.2,139.5,6315814000,698198000,2286614000,2025-12-31,スタンダード（内国株式）
4477.T,ＢＡＳＥ,0.323,102.8,317.8,52324000000,918000000,42686000000,2025-12-31,グロース（内国株式）
2764.T,ひらまつ,0.323,32.2,99.6,9423644000,56371000,6246873000,2025-03-31,スタンダード（内国株式）
1418.T,インターライフホールディングス,0.323,26.3,81.5,6567413000,936685000,4593086000,2026-02-28,スタンダード（内国株式）
3294.T,イーグランド,0.322,94.6,294.0,29192220000,87555000,19791406000,2025-03-31,スタンダード（内国株式）
6176.T,ブランジスタ,0.321,44.0,137.0,3756008000,4759112000,2691830000,2025-09-30,スタンダード（内国株式）
9610.T,ウィルソン・ラーニング　ワールドワイド,0.319,4.6,14.3,1238337000,50000000,817674000,2025-03-31,スタンダード（内国株式）
4576.T,デ・ウエスタン・セラピテクス研究所,0.319,13.9,43.5,2020086000,142677000,734012000,2025-12-31,グロース（内国株式）
7138.T,ＴＯＲＩＣＯ,0.319,7.4,23.3,1408533000,0,667502000,2025-03-31,グロース（内国株式）
2173.T,博展,0.319,35.7,111.9,8746998000,0,5179931000,2025-12-31,グロース（内国株式）
5867.T,エスネットワークス,0.317,11.9,37.6,2003210000,70054000,861015000,2025-12-31,グロース（内国株式）
4366.T,ダイトーケミックス,0.316,55.2,174.6,13530000000,2100000000,9476000000,2025-03-31,スタンダード（内国株式）
5033.T,ヌーラボ,0.315,14.0,44.4,3736847000,0,2336134000,2025-03-31,グロース（内国株式）
3169.T,ミサワ,0.315,14.7,46.6,3743110000,0,2276377000,2026-01-31,スタンダード（内国株式）
6180.T,ＧＭＯメディア,0.314,19.8,63.0,4997651000,199384000,3159796000,2025-12-31,グロース（内国株式）
5644.T,メタルアート,0.313,68.8,219.6,24461000000,243000000,17748000000,2025-03-31,スタンダード（内国株式）
3798.T,ＵＬＳグループ,0.312,93.3,298.7,12100000000,461000000,3093000000,2025-03-31,スタンダード（内国株式）
7779.T,ＣＹＢＥＲＤＹＮＥ,0.311,185.4,595.4,16758000000,15333000000,8954000000,2025-03-31,グロース（内国株式）
3542.T,ベガコーポレーション,0.31,45.6,147.3,6611361000,93663000,2114703000,2025-03-31,グロース（内国株式）
7490.T,日新商事,0.31,45.6,147.2,15637610000,8148730000,16778552000,2025-03-31,スタンダード（内国株式）
8117.T,中央自動車工業,0.31,361.0,1163.9,31449434000,17769678000,7790942000,2025-03-31,スタンダード（内国株式）
9640.T,セゾンテクノロジー,0.309,102.8,332.9,16701799000,747525000,6944306000,2025-03-31,スタンダード（内国株式）
7809.T,壽屋,0.309,33.4,108.2,8129232000,45810000,4819001000,2024-06-30,スタンダード（内国株式）
6035.T,アイ・アールジャパンホールディングス,0.309,39.4,127.7,5136642000,133715000,1286700000,2025-03-31,スタンダード（内国株式）
1434.T,ＪＥＳＣＯホールディングス,0.309,43.0,139.2,14205868000,254604000,10086303000,2025-08-31,スタンダード（内国株式）
7987.T,ナカバヤシ,0.307,47.4,154.1,29789000000,3081000000,27209000000,2025-03-31,スタンダード（内国株式）
5599.T,Ｓ＆Ｊ,0.306,15.4,50.3,2242543000,0,701839000,2025-03-31,グロース（内国株式）
7131.T,のむら産業,0.306,14.6,47.9,3931182000,134608000,2560688000,2025-10-31,スタンダード（内国株式）
6347.T,プラコー,0.305,8.2,26.9,2272702000,22653000,1468709000,2025-03-31,スタンダード（内国株式）
4166.T,かっこ,0.304,6.2,20.4,876137000,64487000,299832000,2025-12-31,グロース（内国株式）
6840.T,ＡＫＩＢＡホールディングス,0.303,30.1,99.4,12657642000,0,9649855000,2025-03-31,スタンダード（内国株式）
5250.T,ＧＭＯプライム・ストラテジー,0.301,12.5,41.4,1431806000,0,184158000,2025-11-30,スタンダード（内国株式）
4972.T,綜研化学,0.301,173.8,576.7,33435181000,76578000,16111735000,2025-03-31,スタンダード（内国株式）
5133.T,テリロジーホールディングス,0.301,16.0,53.0,5536108000,427625000,4238188000,2025-03-31,スタンダード（内国株式）
7610.T,テイツー,0.3,25.2,84.2,9292060000,661348000,7233578000,2025-02-28,スタンダード（内国株式）
9236.T,ジャパンＭ＆Ａソリューション,0.298,5.3,17.8,614231000,500000,83963000,2025-10-31,グロース（内国株式）
6579.T,ログリー,0.295,4.0,13.6,963603000,94966000,629424000,2025-03-31,グロース（内国株式）
9087.T,タカセ,0.295,12.3,41.8,3051456000,497270000,2166992000,2025-03-31,スタンダード（内国株式）
1444.T,ニッソウ,0.294,8.8,30.0,2124963000,33090000,1266260000,2024-07-31,グロース（内国株式）
5955.T,ワイズホールディングス,0.294,34.1,116.0,8829881000,261983000,5599639000,2025-03-31,スタンダード（内国株式）
5942.T,日本フイルコン,0.293,32.8,111.8,21443279000,3196345000,20404282000,2025-11-30,スタンダード（内国株式）
8275.T,フォーバル,0.292,79.6,272.9,28565996000,2596057000,22425581000,2025-03-31,スタンダード（内国株式）
9368.T,キムラユニティー,0.291,104.3,358.6,29169000000,6634000000,23381000000,2025-03-31,スタンダード（内国株式）
5242.T,アイズ,0.291,2.9,10.0,778629000,0,489331000,2025-12-31,グロース（内国株式）
1401.T,エムビーエス,0.29,26.1,90.0,3290133000,712307000,1181763000,2025-05-31,グロース（内国株式）
9685.T,ＫＹＣＯＭホールディングス,0.284,8.4,29.7,3356294000,1373206000,3474299000,2025-03-31,スタンダード（内国株式）
3935.T,エディア,0.283,10.8,38.0,2700488000,5000000,1626336000,2025-02-28,スタンダード（内国株式）
3489.T,フェイスネットワーク,0.283,61.2,216.4,26394354000,0,20271045000,2025-03-31,スタンダード（内国株式）
2315.T,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,0.283,31.0,109.6,2975432000,1146066000,676176000,2025-10-31,スタンダード（内国株式）
4421.T,ディ・アイ・システム,0.283,7.4,26.1,2210995000,0,1472158000,2025-09-30,スタンダード（内国株式）
4261.T,アジアクエスト,0.282,14.7,52.2,2429017000,0,959577000,2025-12-31,グロース（内国株式）
1965.T,テクノ菱和,0.282,361.6,1281.5,56216000000,10231000000,27217000000,2025-03-31,スタンダード（内国株式）
5279.T,日本興業,0.281,9.3,33.2,8768974000,656933000,8296019000,2025-03-31,スタンダード（内国株式）
7325.T,アイリックコーポレーション,0.281,16.0,57.1,3016778000,133481000,1508088000,2024-06-30,グロース（内国株式）
6543.T,日宣,0.28,12.6,44.9,2470443000,344244000,1451361000,2025-02-28,スタンダード（内国株式）
4057.T,インターファクトリー,0.28,4.1,14.5,1330648000,9181000,931835000,2025-05-31,グロース（内国株式）
4395.T,アクリート,0.28,18.3,65.3,4577613000,371655000,3006507000,2025-12-31,グロース（内国株式）
3645.T,メディカルネット,0.28,6.9,24.5,2958057000,55732000,2311672000,2025-05-31,グロース（内国株式）
9564.T,ＦＣＥ,0.28,27.8,99.3,3936569000,1105770000,1928019000,2025-09-30,スタンダード（内国株式）
7080.T,スポーツフィールド,0.279,16.5,59.4,3110038000,0,1455275000,2025-12-31,グロース（内国株式）
6928.T,エノモト,0.278,70.4,253.7,17610154000,523139000,10932177000,2025-03-31,スタンダード（内国株式）
3690.T,イルグルム,0.278,9.2,33.1,2401766000,54677000,1520292000,2025-09-30,スタンダード（内国株式）
3929.T,ソーシャルワイヤー,0.278,10.4,37.2,1941315000,58606000,945865000,2025-03-31,グロース（内国株式）
9331.T,キャスター,0.277,3.6,13.1,1525892000,0,1162330000,2025-08-31,グロース（内国株式）
6668.T,アドテック　プラズマ　テクノロジー,0.277,74.8,269.8,21204000000,450000000,14038000000,2025-08-31,スタンダード（内国株式）
2986.T,ＬＡホールディングス,0.276,192.8,698.4,90811157000,666852000,72000690000,2025-12-31,グロース（内国株式）
6045.T,レントラックス,0.276,32.7,118.4,9918227000,599891000,7071307000,2025-03-31,グロース（内国株式）
6144.T,西部電機,0.276,116.9,423.1,23409000000,5571000000,15618000000,2025-03-31,スタンダード（内国株式）
4389.T,プロパティデータバンク,0.275,24.6,89.2,3258092000,265095000,987715000,2025-03-31,グロース（内国株式）
2303.T,ドーン,0.275,22.2,80.6,2089143000,645138000,323975000,2025-05-31,スタンダード（内国株式）
6195.T,ホープ,0.274,8.1,29.7,1804876000,5792000,995272000,2025-03-31,グロース（内国株式）
6177.T,ＡｐｐＢａｎｋ,0.273,6.3,23.0,933517000,0,307677000,2025-12-31,グロース（内国株式）
7353.T,ＫＩＹＯラーニング,0.272,10.6,38.9,4419370000,26285000,3380616000,2025-12-31,グロース（内国株式）
7775.T,大研医器,0.271,33.3,123.0,6985015000,8797000,3665092000,2025-03-31,スタンダード（内国株式）
6317.T,北川鉄工所,0.271,42.6,157.6,41500000000,4323000000,40263000000,2025-03-31,スタンダード（内国株式）
2782.T,セリア,0.27,646.9,2397.2,97898000000,406000000,33495000000,2025-03-31,スタンダード（内国株式）
7110.T,クラシコム,0.27,40.2,148.9,4890432000,0,869945000,2024-07-31,グロース（内国株式）
3652.T,ディジタルメディアプロフェッショナル,0.269,31.9,118.6,3297832000,536318000,480946000,2025-03-31,グロース（内国株式）
3985.T,テモナ,0.268,5.1,18.8,1502497000,2250000,998526000,2025-09-30,スタンダード（内国株式）
6578.T,コレックホールディングス,0.268,8.6,32.1,2719728000,730000,1861078000,2025-02-28,スタンダード（内国株式）
3080.T,ジェーソン,0.267,25.3,94.7,7086489000,0,4559256000,2025-02-28,スタンダード（内国株式）
7781.T,平山ホールディングス,0.266,29.6,111.1,10684518000,145710000,7828016000,2024-06-30,スタンダード（内国株式）
3168.T,ＭＥＲＦ,0.266,53.2,200.1,21211871000,849566000,16487206000,2025-08-31,スタンダード（内国株式）
5162.T,朝日ラバー,0.265,7.9,30.0,5073948000,198256000,4418571000,2025-03-31,スタンダード（内国株式）
6402.T,兼松エンジニアリング,0.265,17.8,67.2,6706357000,20935000,4938990000,2025-03-31,スタンダード（内国株式）
5621.T,ヒューマンテクノロジーズ,0.265,34.9,131.4,4944986000,845000,1456399000,2025-03-31,グロース（内国株式）
6492.T,岡野バルブ製造,0.264,71.6,270.9,9245000000,1352000000,3031000000,2024-11-30,スタンダード（内国株式）
3566.T,ユニフォームネクスト,0.264,23.7,89.8,3866347000,5000000,1500960000,2025-12-31,グロース（内国株式）
3024.T,クリエイト,0.264,10.6,40.1,12993963000,150115000,12040113000,2025-03-31,スタンダード（内国株式）
7373.T,アイドマ・ホールディングス,0.263,47.5,180.3,7797928000,920732000,3692281000,2025-08-31,グロース（内国株式）
5290.T,ベルテクスコーポレーション,0.263,204.4,777.1,34690168000,1540362000,15332239000,2025-03-31,スタンダード（内国株式）
3719.T,ＡＩストーム,0.262,16.4,62.5,4618846000,29900000,3001769000,2025-12-31,スタンダード（内国株式）
3441.T,山王,0.262,28.5,108.9,8238908000,358207000,5634971000,2024-07-31,スタンダード（内国株式）
7064.T,ハウテレビジョン,0.262,5.6,21.5,1833326000,0,1270941000,2026-01-31,スタンダード（内国株式）
3640.T,電算,0.262,33.8,128.8,11723720000,581190000,8752384000,2025-03-31,スタンダード（内国株式）
2586.T,フルッタフルッタ,0.262,28.1,107.5,3404526000,0,592017000,2025-03-31,グロース（内国株式）
3776.T,ブロードバンドタワー,0.262,41.2,157.3,9690110000,2200736000,7112623000,2025-12-31,スタンダード（内国株式）
9537.T,北陸瓦斯,0.262,54.0,206.0,15738860000,3852248000,13039352000,2025-03-31,スタンダード（内国株式）
8131.T,ミツウロコグループホールディングス,0.261,254.6,976.5,94208000000,26123000000,87038000000,2025-03-31,スタンダード（内国株式）
7035.T,ａｎｄ　ｆａｃｔｏｒｙ,0.26,7.4,28.6,1840487000,45832000,1127646000,2025-08-31,スタンダード（内国株式）
4571.T,ＮＡＮＯホールディングス,0.258,25.2,97.7,3621653000,222120000,1257053000,2025-03-31,グロース（内国株式）
4800.T,オリコン,0.258,44.3,171.3,5040147000,923133000,1260350000,2025-03-31,スタンダード（内国株式）
2924.T,イフジ産業,0.258,45.0,174.4,9967000000,175000000,5590000000,2025-03-31,スタンダード（内国株式）
7115.T,アルファパーチェス,0.258,40.3,156.3,17144750000,0,13111553000,2025-12-31,スタンダード（内国株式）
3900.T,クラウドワークス,0.256,25.4,99.1,11486209000,0,8944728000,2025-09-30,グロース（内国株式）
2813.T,和弘食品,0.256,24.8,96.8,7859594000,896101000,6010590000,2025-03-31,スタンダード（内国株式）
8105.T,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,0.256,24.9,97.3,3112522000,51318000,654773000,2025-03-31,スタンダード（内国株式）
4274.T,細谷火工,0.254,11.8,46.5,2126000000,486734000,1285604000,2025-03-31,スタンダード（内国株式）
7792.T,コラントッテ,0.254,33.5,131.9,4826164000,99331000,1549188000,2025-09-30,グロース（内国株式）
2805.T,ヱスビー食品,0.253,357.0,1411.9,81619000000,15585000000,56827000000,2025-03-31,スタンダード（内国株式）
2428.T,ウェルネット,0.252,29.8,118.5,21746583000,0,18762443000,2024-06-30,スタンダード（内国株式）
4174.T,アピリッツ,0.252,6.4,25.2,4479922000,0,3843734000,2026-01-31,スタンダード（内国株式）
9562.T,ビジネスコーチ,0.252,5.8,22.8,759297000,67680000,231621000,2025-09-30,グロース（内国株式）
7823.T,アートネイチャー,0.251,67.1,267.8,27870000000,2092000000,22625000000,2025-03-31,スタンダード（内国株式）
4393.T,バンク・オブ・イノベーション,0.251,50.2,199.5,7145000000,0,2128000000,2025-09-30,グロース（内国株式）
6566.T,要興業,0.251,49.3,196.0,7328392000,3070971000,4551629000,2025-03-31,スタンダード（内国株式）
7619.T,田中商事,0.25,17.9,71.4,16371397000,0,14582168000,2025-03-31,スタンダード（内国株式）
3423.T,エスイー,0.249,20.5,82.5,16094068000,297915000,14248778000,2025-03-31,スタンダード（内国株式）
4932.T,アルマード,0.248,15.8,63.7,4429546000,0,2847854000,2025-03-31,スタンダード（内国株式）
4888.T,ステラファーマ,0.246,30.3,123.2,5243479000,0,2209618000,2025-03-31,グロース（内国株式）
6577.T,ベストワンドットコム,0.246,7.2,29.3,2292578000,209246000,1718160000,2024-07-31,グロース（内国株式）
3726.T,フォーシーズＨＤ,0.245,12.7,52.0,2600484000,0,1327936000,2025-09-30,スタンダード（内国株式）
7191.T,イントラスト,0.242,59.8,246.8,10004890000,381588000,4291507000,2025-03-31,スタンダード（内国株式）
3647.T,アスリナ,0.242,5.5,22.9,1082034000,0,528078000,2025-08-31,スタンダード（内国株式）
2304.T,ＣＳＳホールディングス,0.242,11.2,46.1,3914416000,612760000,3227532000,2025-09-30,スタンダード（内国株式）
4885.T,室町ケミカル,0.24,10.1,42.0,3608522000,301431000,2812795000,2025-05-31,スタンダード（内国株式）
1848.T,富士ピー・エス,0.24,25.3,105.3,27865000000,159000000,25448000000,2025-03-31,スタンダード（内国株式）
6334.T,明治機械,0.24,11.6,48.4,4850718000,149409000,3794733000,2025-03-31,スタンダード（内国株式）
4811.T,ドリーム・アーツ,0.24,21.3,88.9,4526736000,4530000,2395740000,2025-12-31,グロース（内国株式）
7014.T,名村造船所,0.24,602.0,2507.7,141310000000,32552000000,103895000000,2025-03-31,スタンダード（内国株式）
2991.T,ランドネット,0.24,34.1,142.5,21692915000,0,18278380000,2024-07-31,スタンダード（内国株式）
3928.T,マイネット,0.239,5.0,21.1,3524195000,211006000,3167718000,2025-12-31,スタンダード（内国株式）
9307.T,杉村倉庫,0.238,39.6,166.5,8930884000,865679000,5577859000,2025-03-31,スタンダード（内国株式）
4558.T,中京医薬品,0.238,5.1,21.4,2924966000,175765000,2539148000,2025-03-31,スタンダード（内国株式）
7094.T,ＮｅｘＴｏｎｅ,0.238,31.6,132.5,12272000000,0,9117000000,2025-03-31,グロース（内国株式）
5903.T,シンポ,0.236,22.0,93.3,3663921000,446353000,1777636000,2025-06-30,スタンダード（内国株式）
9237.T,笑美面,0.235,5.3,22.4,1006461000,119931000,564337000,2025-10-31,グロース（内国株式）
2354.T,ＹＥ　ＤＩＧＩＴＡＬ,0.235,41.9,178.4,10331895000,30329000,6164590000,2026-02-28,スタンダード（内国株式）
4890.T,坪田ラボ,0.234,15.3,65.3,2445308000,0,915850000,2025-03-31,グロース（内国株式）
2376.T,サイネックス,0.234,10.2,43.7,7060792000,1041181000,6766447000,2025-03-31,スタンダード（内国株式）
2573.T,北海道コカ・コーラボトリング,0.234,136.7,585.1,24066000000,693000000,10882000000,2025-12-31,スタンダード（内国株式）
4783.T,ＮＣＤ,0.234,45.1,192.6,12586277000,235728000,8241769000,2025-03-31,スタンダード（内国株式）
8115.T,ムーンバット,0.234,16.9,72.5,5981295000,253880000,4464904000,2025-03-31,スタンダード（内国株式）
2112.T,塩水港精糖,0.233,28.3,121.4,9756000000,8375000000,12786000000,2025-03-31,スタンダード（内国株式）
5337.T,ダントーホールディングス,0.233,55.4,237.5,4520000000,4641000000,2227000000,2025-12-31,スタンダード（内国株式）
3444.T,菊池製作所,0.232,31.7,136.4,5005696000,1888404000,3159646000,2025-04-30,スタンダード（内国株式）
5533.T,エリッツホールディングス,0.232,15.6,67.2,5723715000,106311000,4240610000,2025-09-30,スタンダード（内国株式）
2139.T,中広,0.232,7.8,33.5,3613741000,171201000,2955148000,2025-03-31,スタンダード（内国株式）
7716.T,ナカニシ,0.23,598.0,2603.6,102409148000,4959641000,46081023000,2025-12-31,スタンダード（内国株式）
4013.T,勤次郎,0.23,25.8,112.1,6030355000,48707000,3484224000,2025-12-31,グロース（内国株式）
9367.T,大東港運,0.229,36.6,159.5,7519413000,2514772000,5620554000,2025-03-31,スタンダード（内国株式）
3075.T,銚子丸,0.228,45.6,199.6,8075579000,20000000,3533368000,2024-05-31,スタンダード（内国株式）
4498.T,サイバートラスト,0.228,42.1,184.3,7096422000,157975000,2999603000,2025-03-31,グロース（内国株式）
2751.T,テンポスホールディングス,0.228,97.6,428.6,17941000000,1161000000,8998000000,2025-04-30,スタンダード（内国株式）
9927.T,ワットマン,0.228,19.2,84.4,3581483000,2374000,1661496000,2025-03-31,スタンダード（内国株式）
5257.T,ノバシステム,0.227,8.2,35.8,1994664000,508877000,1535743000,2025-12-31,スタンダード（内国株式）
7134.T,アップガレージグループ,0.225,21.8,97.0,4146219000,18849000,1980924000,2025-03-31,スタンダード（内国株式）
9423.T,フォーバル・リアルストレート,0.225,5.6,24.7,1234190000,0,678734000,2025-03-31,スタンダード（内国株式）
5256.T,Ｆｕｓｉｃ,0.225,7.6,33.8,1217418000,21000000,470830000,2024-06-30,グロース（内国株式）
3744.T,サイオス,0.222,10.9,49.2,7580992000,448425000,6805287000,2025-12-31,スタンダード（内国株式）
3495.T,香陵住販,0.221,14.6,66.1,12906385000,277825000,11638377000,2025-09-30,スタンダード（内国株式）
3747.T,インタートレード,0.219,8.4,38.3,1060955000,261149000,405678000,2025-09-30,スタンダード（内国株式）
4838.T,スペースシャワーＳＫＩＹＡＫＩホールディングス,0.218,24.6,113.0,10306307000,43758000,7877830000,2025-03-31,スタンダード（内国株式）
8089.T,ナイス,0.218,47.0,215.2,106717000000,10514000000,109377000000,2025-03-31,スタンダード（内国株式）
4597.T,ソレイジア・ファーマ,0.218,14.9,68.3,1880000000,91000000,458000000,2025-12-31,グロース（内国株式）
7793.T,イメージ・マジック,0.217,8.0,37.0,2255990000,0,1452345000,2025-12-31,グロース（内国株式）
6037.T,楽待,0.217,42.1,194.3,1802830000,4165473000,505881000,2024-07-31,スタンダード（内国株式）
5580.T,プロディライト,0.217,5.3,24.7,1292812000,0,758075000,2025-08-31,グロース（内国株式）
4582.T,シンバイオ製薬,0.216,12.3,57.0,3824049000,15000,2595277000,2025-12-31,グロース（内国株式）
5572.T,Ｒｉｄｇｅ－ｉ,0.215,23.6,109.7,2468340000,712000000,602900000,2024-07-31,グロース（内国株式）
9941.T,太洋物産,0.214,4.8,22.4,7759722000,129652000,7370814000,2025-09-30,スタンダード（内国株式）
4596.T,窪田製薬ホールディングス,0.214,18.0,84.1,1968995000,0,165625000,2025-12-31,グロース（内国株式）
9256.T,サクシード,0.214,20.5,95.5,2611325000,24320000,583314000,2025-03-31,グロース（内国株式）
7183.T,あんしん保証,0.212,9.4,44.5,11436584000,572000,10495997000,2025-03-31,スタンダード（内国株式）
2208.T,ブルボン,0.212,149.8,706.3,46294000000,4331000000,34348000000,2025-03-31,スタンダード（内国株式）
9421.T,エヌジェイホールディングス,0.212,7.4,34.7,2869027000,200994000,2274294000,2024-06-30,スタンダード（内国株式）
4816.T,東映アニメーション,0.212,1046.5,4944.4,127940000000,20703000000,37783000000,2025-03-31,スタンダード（内国株式）
6994.T,指月電機製作所,0.211,67.4,319.0,20112977000,1745251000,14597582000,2025-03-31,スタンダード（内国株式）
3562.T,Ｎｏ．１,0.211,21.3,101.0,6206381000,218304000,4230324000,2025-02-28,スタンダード（内国株式）
5034.T,ｕｎｅｒｒｙ,0.209,16.0,76.4,2072858000,0,474192000,2024-06-30,グロース（内国株式）
6658.T,シライ電子工業,0.208,14.8,71.1,10439000000,634000000,9401000000,2025-03-31,スタンダード（内国株式）
9818.T,大丸エナウィン,0.207,29.5,142.1,9624002000,774200000,7220695000,2025-03-31,スタンダード（内国株式）
7570.T,橋本総業ホールディングス,0.207,55.0,266.0,48674000000,14302000000,53184000000,2025-03-31,スタンダード（内国株式）
5699.T,イボキン,0.206,11.7,56.7,3647206000,681546000,2957665000,2025-12-31,スタンダード（内国株式）
5721.T,エスクリプトエナジー,0.206,27.8,134.9,2912570000,1377000,135606000,2025-03-31,スタンダード（内国株式）
3329.T,東和フードサービス,0.204,33.2,162.2,5271607000,62272000,1997619000,2025-04-30,スタンダード（内国株式）
2780.T,コメ兵ホールディングス,0.204,130.3,639.6,68457419000,0,55426515000,2025-03-31,スタンダード（内国株式）
7694.T,いつも,0.204,6.0,29.2,6731209000,158055000,6246467000,2025-03-31,グロース（内国株式）
3140.T,ＢＲＵＮＯ,0.204,30.6,149.9,8311000000,0,5250000000,2024-06-30,グロース（内国株式）
1723.T,日本電技,0.203,299.7,1475.4,32681000000,15262000000,13392000000,2025-03-31,スタンダード（内国株式）
3558.T,ジェイドグループ,0.203,35.2,173.5,10539472000,6398000,7025410000,2026-02-28,グロース（内国株式）
6018.T,阪神内燃機工業,0.202,41.8,207.5,13025721000,1943997000,10203805000,2025-03-31,スタンダード（内国株式）
4193.T,ファブリカホールディングス,0.202,23.3,115.4,3765003000,398409000,1715548000,2025-03-31,スタンダード（内国株式）
7177.T,ＧＭＯフィナンシャルホールディングス,0.202,275.7,1365.1,1372631000000,12479000000,1353795000000,2025-12-31,スタンダード（内国株式）
4264.T,セキュア,0.201,21.4,106.8,4291521000,258754000,2331001000,2025-12-31,グロース（内国株式）
3791.T,ＩＧポート,0.201,55.8,277.2,10643190000,285825000,5262696000,2025-05-31,スタンダード（内国株式）
4404.T,ミヨシ油脂,0.2,39.8,199.2,37678000000,11131000000,41488000000,2025-12-31,スタンダード（内国株式）
3664.T,ＷＩＺＥ,0.2,4.4,22.0,2249841000,24459000,1825891000,2025-12-31,グロース（内国株式）
7357.T,ジオコード,0.2,8.3,41.4,1301468000,277268000,666675000,2025-02-28,スタンダード（内国株式）
1921.T,巴コーポレーション,0.2,122.5,611.5,30737134000,35767825000,43526746000,2025-03-31,スタンダード（内国株式）
4375.T,セーフィー,0.199,83.1,417.7,10931821000,328615000,2856062000,2025-12-31,グロース（内国株式）
6551.T,ツナググループ・ホールディングス,0.199,9.1,45.5,3287809000,0,2381764000,2025-09-30,スタンダード（内国株式）
4966.T,上村工業,0.198,740.6,3734.1,86652984000,16971092000,24469938000,2025-03-31,スタンダード（内国株式）
9159.T,Ｗ　ＴＯＫＹＯ,0.198,10.6,53.5,2066936000,14026000,1014683000,2025-06-30,グロース（内国株式）
7481.T,尾家産業,0.198,39.4,198.6,26492000000,811000000,23123000000,2025-03-31,スタンダード（内国株式）
8929.T,青山財産ネットワークス,0.198,64.7,327.8,19568000000,2106000000,14568000000,2025-12-31,スタンダード（内国株式）
4979.T,ＯＡＴアグリオ,0.198,53.6,270.7,22203000000,733000000,17354000000,2025-12-31,スタンダード（内国株式）
4168.T,ヤプリ,0.196,18.6,94.8,3283811000,499097000,1775251000,2025-12-31,グロース（内国株式）
4320.T,ＣＥホールディングス,0.196,54.6,279.0,9076418000,408208000,3904013000,2025-09-30,スタンダード（内国株式）
3931.T,バリューゴルフ,0.195,6.4,32.7,2734337000,22436000,2111666000,2026-01-31,グロース（内国株式）
5698.T,エンビプロ・ホールディングス,0.195,44.8,229.7,15874523000,3705560000,13989518000,2025-06-30,スタンダード（内国株式）
5869.T,早稲田学習研究会,0.195,24.9,127.7,4419070000,524590000,2300002000,2025-03-31,スタンダード（内国株式）
2667.T,イメージ　ワン,0.195,6.0,31.0,1100148000,253804000,674837000,2025-09-30,スタンダード（内国株式）
5031.T,モイ,0.194,16.0,82.5,3874069000,0,2276051000,2026-01-31,グロース（内国株式）
9417.T,スマートバリュー,0.193,5.8,30.1,2458542000,1593000,1878636000,2024-06-30,スタンダード（内国株式）
3538.T,ウイルプラスホールディングス,0.193,16.5,85.3,26675409000,0,25026413000,2025-06-30,スタンダード（内国株式）
3271.T,ＴＨＥグローバル社,0.193,69.2,359.2,47505494000,660714000,41044953000,2024-06-30,スタンダード（内国株式）
2998.T,クリアル,0.191,30.9,161.6,50755665000,1036000,47663085000,2025-03-31,グロース（内国株式）
7443.T,横浜魚類,0.19,7.5,39.2,3115588000,748313000,2892771000,2025-03-31,スタンダード（内国株式）
4237.T,フジプレアム,0.19,19.1,100.3,7157953000,998838000,5946844000,2025-03-31,スタンダード（内国株式）
1840.T,土屋ホールディングス,0.189,10.8,57.2,14138699000,1274480000,13948526000,2025-10-31,スタンダード（内国株式）
7081.T,コーユーレンティア,0.188,27.0,143.6,10455042000,214788000,7906304000,2025-12-31,スタンダード（内国株式）
5574.T,ＡＢＥＪＡ,0.186,42.6,228.5,5104545000,0,846440000,2025-08-31,グロース（内国株式）
4579.T,ラクオリア創薬,0.186,24.5,131.9,5682428000,546897000,3617931000,2025-12-31,グロース（内国株式）
7939.T,研創,0.185,4.0,21.4,2665122000,28079000,2287780000,2025-03-31,スタンダード（内国株式）
6775.T,ＴＢグループ,0.185,3.5,19.0,1146445000,232446000,957690000,2025-03-31,スタンダード（内国株式）
4493.T,サイバーセキュリティクラウド,0.184,32.9,178.9,4680965000,34526000,1411632000,2025-12-31,グロース（内国株式）
9556.T,ＩＮＴＬＯＯＰ,0.184,30.6,166.1,9684979000,620303000,7062455000,2024-07-31,グロース（内国株式）
5027.T,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,0.184,55.9,303.7,32758000000,1272000000,28059000000,2025-12-31,グロース（内国株式）
