コード,銘柄名,ネットキャッシュ比率,ネットキャッシュ(億円),時価総額(億円),流動資産,投資有価証券,負債,決算期,市場
1768.T,ソネック,0.93,69.9,75.2,10295010000,762206000,3837927000,2025-03-31,スタンダード（内国株式）
6858.T,小野測器,0.927,80.9,87.3,11235000000,2912000000,5181000000,2025-12-31,スタンダード（内国株式）
7602.T,レダックス,0.926,32.6,35.2,5431973000,62908000,2214572000,2025-03-31,スタンダード（内国株式）
6149.T,小田原エンジニアリング,0.923,112.0,121.3,17096136000,615362000,6328138000,2025-12-31,スタンダード（内国株式）
7446.T,東北化学薬品,0.923,38.3,41.4,12825935000,2003550000,10403176000,2025-09-30,スタンダード（内国株式）
5871.T,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,0.921,66.4,72.1,11008000000,0,4372000000,2025-12-31,スタンダード（内国株式）
7544.T,スリーエフ,0.92,38.4,41.7,4485000000,38000000,674000000,2025-02-28,スタンダード（内国株式）
5464.T,モリ工業,0.919,337.3,366.9,43053000000,7068000000,14272000000,2025-03-31,スタンダード（内国株式）
7681.T,レオクラン,0.917,46.7,51.0,9298148000,607191000,5050045000,2025-09-30,スタンダード（内国株式）
8700.T,丸八証券,0.914,64.0,70.0,7524152000,1718597000,2323836000,2025-03-31,スタンダード（内国株式）
2385.T,総医研ホールディングス,0.911,58.4,64.1,6597302000,26351000,775159000,2025-06-30,グロース（内国株式）
3577.T,東海染工,0.911,26.9,29.6,7109113000,2696944000,6303745000,2025-03-31,スタンダード（内国株式）
6365.T,電業社機械製作所,0.91,208.1,228.7,30815000000,3765000000,12639000000,2025-03-31,スタンダード（内国株式）
9478.T,ＳＥホールディングス・アンド・インキュベーションズ,0.91,72.9,80.1,13711000000,115000000,6503000000,2025-03-31,スタンダード（内国株式）
4628.T,エスケー化研,0.905,1208.7,1335.5,140500000000,11369000000,27585000000,2025-03-31,スタンダード（内国株式）
3674.T,オークファン,0.904,31.4,34.7,5922231000,297511000,2991849000,2025-09-30,グロース（内国株式）
9760.T,進学会ホールディングス,0.902,17.7,19.6,15700104000,534862000,14303282000,2025-03-31,スタンダード（内国株式）
9980.T,ＭＲＫホールディングス,0.899,87.7,97.5,14337840000,0,5572777000,2025-03-31,スタンダード（内国株式）
3943.T,大石産業,0.896,86.1,96.1,15506000000,1528000000,7970000000,2025-03-31,スタンダード（内国株式）
1724.T,シンクレイヤ,0.894,28.2,31.6,6063000000,530000000,3612000000,2025-12-31,スタンダード（内国株式）
6678.T,テクノメディカ,0.89,121.3,136.3,15678302000,0,3549556000,2025-03-31,スタンダード（内国株式）
2329.T,東北新社,0.887,674.9,760.9,78986000000,8854000000,17690000000,2025-03-31,スタンダード（内国株式）
1807.T,佐藤渡辺,0.886,97.7,110.3,21049823000,3895195000,14005560000,2025-03-31,スタンダード（内国株式）
7314.T,小田原機器,0.883,31.8,36.1,6206404000,166169000,3139613000,2025-12-31,スタンダード（内国株式）
3802.T,エコミック,0.882,14.2,16.1,1583879000,0,168599000,2025-03-31,スタンダード（内国株式）
2911.T,旭松食品,0.879,36.5,41.5,5026849000,847388000,1968617000,2025-03-31,スタンダード（内国株式）
6022.T,赤阪鐵工所,0.877,32.7,37.3,6738659000,2302766000,5075936000,2025-03-31,スタンダード（内国株式）
6494.T,ＮＦＫホールディングス,0.877,42.3,48.3,3772110000,1490738000,585516000,2025-03-31,スタンダード（内国株式）
8202.T,ラオックスホールディングス,0.874,118.2,135.3,31475000000,109000000,19728000000,2025-12-31,スタンダード（内国株式）
4120.T,スガイ化学工業,0.872,27.1,31.1,5501903000,1763585000,4024450000,2025-03-31,スタンダード（内国株式）
4925.T,ハーバー研究所,0.872,56.2,64.4,9035495000,0,3417224000,2025-03-31,スタンダード（内国株式）
8104.T,クワザワホールディングス,0.871,81.0,93.1,32188000000,1530000000,25156000000,2025-03-31,スタンダード（内国株式）
6915.T,千代田インテグレ,0.869,245.9,283.0,32404000000,3156000000,10028000000,2025-12-31,スタンダード（内国株式）
7847.T,グラファイトデザイン,0.865,34.2,39.6,5052667000,158681000,1740498000,2025-02-28,スタンダード（内国株式）
9857.T,英和,0.865,139.1,160.7,28615569000,2086420000,16166866000,2025-03-31,スタンダード（内国株式）
3434.T,アルファＣｏ,0.865,102.1,118.1,38829000000,3993000000,31412000000,2025-03-31,スタンダード（内国株式）
9625.T,セレスポ,0.861,51.0,59.2,8907328000,104333000,3884136000,2025-03-31,スタンダード（内国株式）
7689.T,コパ・コーポレーション,0.861,10.3,12.0,1265753000,0,232672000,2025-02-28,グロース（内国株式）
1826.T,佐田建設,0.861,105.8,122.9,22255000000,415000000,11968000000,2025-03-31,スタンダード（内国株式）
6382.T,トリニティ工業,0.859,183.3,213.3,25699240000,3169053000,9583337000,2025-03-31,スタンダード（内国株式）
4299.T,ハイマックス,0.858,103.1,120.2,12575000000,543000000,2648000000,2025-03-31,スタンダード（内国株式）
8572.T,アコム,0.857,6324.2,7380.3,1408775000000,1454000000,777375000000,2025-03-31,スタンダード（内国株式）
2735.T,ワッツ,0.854,69.6,81.5,21185526000,360046000,14480821000,2025-08-31,スタンダード（内国株式）
6882.T,三社電機製作所,0.852,157.3,184.6,24900000000,88000000,9230000000,2025-03-31,スタンダード（内国株式）
6894.T,パルステック工業,0.851,24.9,29.2,3609341000,61913000,1166294000,2025-03-31,スタンダード（内国株式）
9845.T,パーカーコーポレーション,0.85,293.0,344.6,47896000000,5400000000,22377000000,2025-03-31,スタンダード（内国株式）
2425.T,ケアサービス,0.85,21.6,25.4,3355957000,0,1195932000,2025-03-31,スタンダード（内国株式）
6229.T,オーケーエム,0.848,60.6,71.5,8744524000,243378000,2851245000,2025-03-31,スタンダード（内国株式）
6488.T,ヨシタケ,0.847,100.3,118.4,10642923000,3827805000,3293905000,2025-03-31,スタンダード（内国株式）
3653.T,モルフォ,0.846,30.6,36.1,3249845000,477693000,526379000,2025-10-31,グロース（内国株式）
6832.T,アオイ電子,0.842,268.2,318.6,33429242000,2951046000,8677100000,2025-03-31,スタンダード（内国株式）
4936.T,アクシージア,0.842,66.3,78.7,8631804000,0,2006453000,2024-07-31,スタンダード（内国株式）
9253.T,スローガン,0.842,15.6,18.6,2155977000,140540000,692108000,2026-02-28,グロース（内国株式）
7487.T,小津産業,0.842,122.6,145.7,13986364000,7812873000,7194846000,2025-05-31,スタンダード（内国株式）
3816.T,大和コンピューター,0.842,37.0,43.9,4294011000,601860000,1020020000,2024-07-31,スタンダード（内国株式）
1770.T,藤田エンジニアリング,0.839,132.9,158.4,20575867000,5750729000,11309581000,2025-03-31,スタンダード（内国株式）
1866.T,北野建設,0.838,208.2,248.6,41519000000,10954000000,28362000000,2025-03-31,スタンダード（内国株式）
6647.T,森尾電機,0.838,28.8,34.4,5735234000,1279784000,3746322000,2025-03-31,スタンダード（内国株式）
1811.T,錢高組,0.835,502.3,601.6,112486000000,68058000000,109896000000,2025-03-31,スタンダード（内国株式）
3435.T,サンコーテクノ,0.834,89.9,107.8,15777170000,1454927000,7803410000,2025-03-31,スタンダード（内国株式）
4761.T,さくらケーシーエス,0.829,129.9,156.8,14244000000,6344000000,5692000000,2025-03-31,スタンダード（内国株式）
5218.T,オハラ,0.827,308.0,372.6,40259830000,7259598000,14537598000,2025-10-31,スタンダード（内国株式）
2009.T,鳥越製粉,0.825,208.2,252.3,21879270000,12310415000,9679880000,2025-12-31,スタンダード（内国株式）
1847.T,イチケン,0.823,302.4,367.4,62005000000,2504000000,33517000000,2025-03-31,スタンダード（内国株式）
8705.T,日産証券グループ,0.823,94.7,115.1,131382060000,3970472000,124694863000,2025-03-31,スタンダード（内国株式）
7185.T,ヒロセ通商,0.823,192.2,233.5,117077409000,0,97856072000,2025-03-31,スタンダード（内国株式）
2483.T,翻訳センター,0.822,58.3,71.0,7667084000,346316000,2075537000,2025-03-31,スタンダード（内国株式）
7946.T,光陽社,0.819,7.8,9.5,2089839000,113349000,1392977000,2025-03-31,スタンダード（内国株式）
1867.T,植木組,0.818,126.2,154.3,32700693000,2512488000,21835514000,2025-03-31,スタンダード（内国株式）
