コード,前日終値,配当,配当利回り(%),forwardEPS,予想PER,目標株価
4761,1390.0,62.0,4.45,,,
3435,1362.0,46.0,3.37,,,
8705,232.0,24.0,10.3,,,
1798,1000.0,38.0,3.74,,,
5449,2572.0,38.0,1.4,,,
1879,2271.0,78.0,3.45,,,
4534,3410.0,85.0,2.46,187.2,18.429487,
6338,1787.0,40.0,2.19,,,
2693,455.0,5.0,1.2,,,
6104,3875.0,140.0,3.54,501.45,7.887127,4285.0
5461,2040.0,113.0,5.4,314.6,6.6528926,
2009,1080.0,49.0,4.51,,,
7185,3765.0,39.0,1.03,,,
7946,379.0,11.0,2.88,,,
4547,3875.0,130.0,3.34,220.22,17.664154,5216.6665
7313,1804.0,92.0,5.09,103.47,17.468832,1684.0
6832,2870.0,54.0,1.85,71.88,40.623264,2700.0
1847,2532.0,180.0,7.08,,,
2483,2118.0,140.0,6.59,207.8,10.226179,
1867,2361.0,110.0,4.68,,,
4406,201.0,4.5,2.27,,,
7228,3620.0,150.0,4.16,569.9,6.3344445,
9996,2156.0,48.0,2.26,,,
6265,3145.0,50.0,1.6,,,
8041,4260.0,344.0,8.04,,,
9339,1245.0,20.0,1.61,,,
1811,8000.0,120.0,1.39,,,
5458,1244.0,45.0,3.69,,,
9908,2534.0,110.0,4.34,262.8,9.649924,
6030,1286.0,0.0,0.0,289.13,4.368277,
9755,2873.0,110.0,3.83,138.1,20.803764,
7567,597.0,11.0,1.84,,,
8101,2319.0,106.0,4.56,,,
5189,3060.0,200.0,6.44,,,
2108,4245.0,260.0,6.07,,,
4918,268.0,30.0,11.07,,,
3512,925.0,28.0,3.15,,,
3089,1260.0,35.0,2.74,,,
5976,1293.0,72.0,5.5,78.0,16.782051,
1430,983.0,46.0,4.86,161.0,5.8757763,
8871,3585.0,160.0,4.48,154.5,23.139158,3760.0
6706,3515.0,105.0,2.99,118.4,29.64527,
3766,1273.0,60.0,4.63,,,
1716,1396.0,40.0,2.89,238.9,5.797405,
6038,908.0,46.0,5.08,31.4,28.853504,
6034,620.0,0.0,0.0,,,
5820,705.0,17.0,2.38,,,
9906,4005.0,200.0,5.06,,,
7287,2663.0,90.0,3.38,191.9,13.861386,
4591,71.0,0.0,0.0,-52.5,-1.3333334,
6737,2595.0,115.0,4.36,199.17,13.234925,2300.0
5906,814.0,18.0,2.22,,,
7922,719.0,10.0,1.29,,,
6430,2113.0,100.0,4.74,62.2,33.92283,
9955,2687.0,34.0,1.22,,,
3932,3145.0,120.0,3.8,208.05,15.188657,3390.0
3437,2767.0,102.0,3.65,,,
4429,738.0,0.0,0.0,104.6,7.0172086,
6337,2592.0,100.0,3.92,253.1,10.067167,
7523,1623.0,30.0,1.83,,,
4116,1055.0,47.5,4.51,,,
9647,7150.0,30.0,41.0,,,
6316,2509.0,75.0,2.98,,,
3377,374.0,11.0,2.95,39.4,9.467005,
7444,1953.0,120.0,6.09,,,
2613,1960.0,80.0,4.05,134.5,14.698885,
6572,202.0,6.5,3.22,7.6,26.578947,
1822,744.0,38.0,5.12,198.9,3.7305179,
8098,3860.0,146.0,3.81,332.3,11.52573,
6496,5210.0,110.0,2.13,,,
4229,4455.0,100.0,2.22,316.8,14.188764,
7031,658.0,0.0,0.0,,,
8185,976.0,54.0,5.51,60.39,16.227852,1000.0
5816,1770.0,70.0,3.86,,,
1981,1321.0,102.0,7.69,,,
1788,4600.0,70.0,1.56,,,
2481,668.0,20.0,2.98,,,
7192,598.0,30.0,5.02,,,
8737,603.0,30.0,4.9,,,
6918,3485.0,110.0,3.12,324.8,10.852833,
6417,1634.5,90.0,5.58,1.5,1075.6666,2325.0
1972,1222.0,64.0,5.25,,,
1786,325.0,14.5,4.46,34.7,9.365994,480.0
6540,1504.0,78.0,5.17,,,
3908,298.0,12.0,4.03,,,
5451,1222.0,53.0,4.19,,,
7370,764.0,40.0,5.41,93.7,7.897546,
6927,977.0,59.0,6.01,,,
7983,1052.0,10.0,94.0,,,
4316,160.0,0.0,0.0,,,
8877,5110.0,240.0,4.72,,,
7613,1404.0,50.0,3.58,166.5,8.396397,
9726,1992.0,20.0,1.01,256.2,7.73224,
6484,2311.0,90.0,3.94,,,
6848,854.0,22.0,2.57,,,
5125,468.0,0.0,0.0,,,
9363,523.0,16.0,3.05,,,
6279,879.0,16.0,1.81,242.1,3.6431227,
1888,3430.0,145.0,4.26,,,
3553,883.0,52.0,5.9,,,
7955,949.0,40.0,4.21,,,
7833,642.0,30.0,4.68,,,
7460,4405.0,180.0,4.02,,,
2763,1092.0,70.0,6.36,,,
7527,50.0,0.0,0.0,5.9,8.644068,
2053,1722.0,76.0,4.46,146.8,11.600817,
3682,580.0,27.0,4.62,,,
9902,2567.0,100.0,3.96,142.7,17.694464,
2961,5190.0,180.0,3.53,,,
2121,2643.0,130.0,4.92,193.62,13.65045,3600.0
4059,371.0,0.0,0.0,2.8,129.28572,
4635,1260.0,70.0,5.56,,,
1443,246.0,1.1,45.0,,,
7722,780.0,40.0,5.1,45.8,17.117905,
8091,2167.0,100.0,4.6,659.8,3.297969,
4754,1498.0,37.0,2.45,,,
9888,915.0,37.0,4.05,,,
6047,493.0,18.3,3.71,2.1,234.76192,
5542,810.0,25.0,2.94,,,
9248,1527.0,60.0,3.91,,,
7292,6570.0,240.0,3.53,,,
5959,918.0,32.0,3.49,83.9,10.917759,
4990,484.0,6.0,1.24,,,
4772,85.0,1.0,1.2,,,
7208,1155.0,42.0,3.64,,,
3431,1487.0,75.0,5.05,,,
7077,993.0,0.0,0.0,81.4,12.174447,
7539,760.0,26.0,3.4,,,
8742,553.0,12.0,2.17,,,
9408,2859.0,18.0,63.0,,,
3930,941.0,0.0,0.0,,,
