コードA,銘柄A,業種A,コードB,銘柄B,業種B,相関
6082.T,ライドオンエクスプレスホールディングス,サービス業,9950.T,ハチバン,小売業,0.796
3800.T,ユニリタ,情報・通信業,2186.T,ソーバル,サービス業,0.796
4365.T,松本油脂製薬,化学,3172.T,ティーライフ,小売業,0.796
2169.T,ＣＤＳ,サービス業,8898.T,センチュリー２１・ジャパン,不動産業,0.795
2186.T,ソーバル,サービス業,9950.T,ハチバン,小売業,0.795
3800.T,ユニリタ,情報・通信業,9661.T,歌舞伎座,サービス業,0.794
9661.T,歌舞伎座,サービス業,9017.T,新潟交通,陸運業,0.794
2911.T,旭松食品,食料品,9661.T,歌舞伎座,サービス業,0.794
6082.T,ライドオンエクスプレスホールディングス,サービス業,2683.T,魚喜,小売業,0.793
4623.T,アサヒペン,化学,9656.T,グリーンランドリゾート,サービス業,0.793
3172.T,ティーライフ,小売業,9656.T,グリーンランドリゾート,サービス業,0.793
9950.T,ハチバン,小売業,9661.T,歌舞伎座,サービス業,0.792
3800.T,ユニリタ,情報・通信業,8898.T,センチュリー２１・ジャパン,不動産業,0.792
2911.T,旭松食品,食料品,7514.T,ヒマラヤ,小売業,0.791
2883.T,大冷,食料品,9661.T,歌舞伎座,サービス業,0.791
2883.T,大冷,食料品,7562.T,安楽亭,小売業,0.791
9986.T,蔵王産業,卸売業,2904.T,一正蒲鉾,食料品,0.791
7872.T,エステールホールディングス,その他製品,2904.T,一正蒲鉾,食料品,0.791
7872.T,エステールホールディングス,その他製品,6082.T,ライドオンエクスプレスホールディングス,サービス業,0.791
9661.T,歌舞伎座,サービス業,9993.T,ヤマザワ,小売業,0.79
2883.T,大冷,食料品,9846.T,天満屋ストア,小売業,0.79
2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,食料品,2683.T,魚喜,小売業,0.79
3140.T,ＢＲＵＮＯ,卸売業,2816.T,ダイショー,食料品,0.79
2911.T,旭松食品,食料品,2169.T,ＣＤＳ,サービス業,0.79
3140.T,ＢＲＵＮＯ,卸売業,2904.T,一正蒲鉾,食料品,0.789
3059.T,ヒラキ,小売業,9017.T,新潟交通,陸運業,0.788
7514.T,ヒマラヤ,小売業,9017.T,新潟交通,陸運業,0.788
2877.T,日東ベスト,食料品,2683.T,魚喜,小売業,0.788
8898.T,センチュリー２１・ジャパン,不動産業,9656.T,グリーンランドリゾート,サービス業,0.788
2816.T,ダイショー,食料品,2789.T,カルラ,小売業,0.787
9656.T,グリーンランドリゾート,サービス業,9017.T,新潟交通,陸運業,0.787
2904.T,一正蒲鉾,食料品,7562.T,安楽亭,小売業,0.787
4623.T,アサヒペン,化学,9636.T,きんえい,サービス業,0.786
9846.T,天満屋ストア,小売業,9017.T,新潟交通,陸運業,0.786
3065.T,ライフフーズ,小売業,2226.T,湖池屋,食料品,0.786
2911.T,旭松食品,食料品,8898.T,センチュリー２１・ジャパン,不動産業,0.785
2226.T,湖池屋,食料品,2683.T,魚喜,小売業,0.784
3800.T,ユニリタ,情報・通信業,9849.T,共同紙販ホールディングス,卸売業,0.784
2186.T,ソーバル,サービス業,9017.T,新潟交通,陸運業,0.784
7872.T,エステールホールディングス,その他製品,2883.T,大冷,食料品,0.784
