コード,銘柄名,業種33,規模,新業種,method
7347,マーキュリアホールディングス,証券、商品先物取引業,-,証券・保険・その他金融,rule
8135,ゼット,卸売業,-,,
3320,クロスプラス,卸売業,-,,
9854,愛眼,小売業,-,,
3426,アトムリビンテック,金属製品,-,金属製品・金属加工,rule
5541,大平洋金属,鉄鋼,TOPIX Small 2,鉄鋼・非鉄金属,rule
6393,油研工業,機械,-,,
4629,大伸化学,化学,-,,
5971,共和工業所,金属製品,-,金属製品・金属加工,rule
7531,清和中央ホールディングス,卸売業,-,,
4569,杏林製薬,医薬品,TOPIX Small 1,医薬品・バイオ,rule
7434,オータケ,卸売業,-,,
3246,コーセーアールイー,不動産業,-,,
6342,太平製作所,機械,-,,
5984,兼房,金属製品,-,金属製品・金属加工,rule
5697,サンユウ,鉄鋼,-,鉄鋼・非鉄金属,rule
3420,ケー・エフ・シー,金属製品,-,金属製品・金属加工,rule
1850,南海辰村建設,建設業,-,,
7937,ツツミ,その他製品,TOPIX Small 2,,
4224,ロンシール工業,化学,-,,
4705,クリップコーポレーション,サービス業,-,,
7670,オーウエル,卸売業,-,,
6694,ズーム,電気機器,-,,
2795,日本プリメックス,卸売業,-,,
3758,アエリア,情報・通信業,-,,
5951,ダイニチ工業,金属製品,-,金属製品・金属加工,rule
7435,ナ・デックス,卸売業,-,,
7422,東邦レマック,卸売業,-,,
3236,プロパスト,不動産業,-,,
5819,カナレ電気,非鉄金属,-,鉄鋼・非鉄金属,rule
3161,アゼアス,卸売業,-,,
7175,今村証券,証券、商品先物取引業,-,証券・保険・その他金融,rule
5946,長府製作所,金属製品,TOPIX Small 2,金属製品・金属加工,rule
8938,グローム・ホールディングス,不動産業,-,,
6292,カワタ,機械,-,,
3668,コロプラ,情報・通信業,TOPIX Small 1,,
6748,星和電機,電気機器,-,,
9972,アルテック,卸売業,-,,
6335,東京機械製作所,機械,-,,
7021,ニッチツ,機械,-,,
2814,佐藤食品工業,食料品,-,,
6899,ＡＳＴＩ,電気機器,-,,
7997,くろがね工作所,その他製品,-,,
4360,マナック・ケミカル・パートナーズ,化学,-,,
5187,クリエートメディック,精密機器,-,計測・分析・光学機器,rule
5446,北越メタル,鉄鋼,-,鉄鋼・非鉄金属,rule
3632,グリーホールディングス,情報・通信業,TOPIX Small 2,,
6718,アイホン,電気機器,TOPIX Small 2,,
9876,コックス,小売業,-,,
8869,明和地所,不動産業,TOPIX Small 2,,
5282,ジオスター,ガラス・土石製品,-,ガラス・セラミックス・ゴム,rule
3537,昭栄薬品,卸売業,-,,
8595,ジャフコ　グループ,証券、商品先物取引業,TOPIX Mid400,証券・保険・その他金融,rule
6497,ハマイ,機械,-,,
2168,パソナグループ,サービス業,TOPIX Small 1,,
7264,ムロコーポレーション,輸送用機器,-,自動車・輸送用機器,rule
5079,ノバック,建設業,-,,
7122,近畿車輛,輸送用機器,-,自動車・輸送用機器,rule
8281,ゼビオホールディングス,小売業,TOPIX Small 1,,
3765,ガンホー・オンライン・エンターテイメント,情報・通信業,TOPIX Small 1,,
1853,森組,建設業,-,,
7218,田中精密工業,輸送用機器,-,自動車・輸送用機器,rule
7908,きもと,化学,-,,
4627,ナトコ,化学,-,,
4243,ニックス,化学,-,,
4625,アトミクス,化学,-,,
7521,ムサシ,卸売業,-,,
5986,モリテック　スチール,金属製品,-,金属製品・金属加工,rule
6743,大同信号,電気機器,-,,
6150,タケダ機械,機械,-,,
7975,リヒトラブ,その他製品,-,,
5966,京都機械工具,金属製品,-,金属製品・金属加工,rule
3477,フォーライフ,不動産業,-,,
7464,セフテック,卸売業,-,,
4365,松本油脂製薬,化学,-,,
3639,ボルテージ,情報・通信業,-,,
7865,ピープル,その他製品,-,,
2491,バリューコマース,サービス業,TOPIX Small 2,,
5078,セレコーポレーション,建設業,-,,
3054,ハイパー,卸売業,-,,
3297,東武住販,不動産業,-,,
5915,駒井ハルテック,金属製品,-,金属製品・金属加工,rule
8584,ジャックス,その他金融業,TOPIX Small 1,証券・保険・その他金融,rule
7279,ハイレックスコーポレーション,輸送用機器,-,自動車・輸送用機器,rule
9895,コンセック,卸売業,-,,
6159,ミクロン精密,機械,-,,
2489,アドウェイズ,サービス業,TOPIX Small 2,,
8159,立花エレテック,卸売業,TOPIX Small 2,,
3954,昭和パックス,パルプ・紙,-,繊維・紙パルプ,rule
143A,イシン,サービス業,-,,
4644,イマジニア,情報・通信業,-,,
3710,ジョルダン,情報・通信業,-,,
8076,カノークス,卸売業,-,,
7486,サンリン,卸売業,-,,
7985,ネポン,金属製品,-,金属製品・金属加工,rule
7957,フジコピアン,その他製品,-,,
3131,シンデン・ハイテックス,卸売業,-,,
5969,ロブテックス,金属製品,-,金属製品・金属加工,rule
7885,タカノ,その他製品,-,,
3134,Ｈａｍｅｅ,小売業,TOPIX Small 2,,
6325,タカキタ,機械,-,,
6797,名古屋電機工業,電気機器,-,,
7628,オーハシテクニカ,卸売業,TOPIX Small 2,,
6276,シリウスビジョン,電気機器,-,,
7472,鳥羽洋行,卸売業,-,,
6151,日東工器,機械,TOPIX Small 2,,
7537,丸文,卸売業,TOPIX Small 2,,
6820,アイコム,電気機器,TOPIX Small 2,,
2221,岩塚製菓,食料品,-,,
8141,新光商事,卸売業,TOPIX Small 2,,
3583,オーベクス,繊維製品,-,繊維・紙パルプ,rule
9932,杉本商事,卸売業,TOPIX Small 2,,
6778,アルチザネットワークス,電気機器,-,,
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,情報・通信業,-,,
5945,天龍製鋸,金属製品,-,金属製品・金属加工,rule
6158,和井田製作所,機械,-,,
3386,コスモ・バイオ,卸売業,-,,
3892,岡山製紙,パルプ・紙,-,繊維・紙パルプ,rule
3944,古林紙工,パルプ・紙,-,繊維・紙パルプ,rule
7928,旭化学工業,化学,-,,
2497,ユナイテッド,サービス業,-,,
3851,日本一ソフトウェア,情報・通信業,-,,
3895,ハビックス,パルプ・紙,-,繊維・紙パルプ,rule
9867,ソレキア,卸売業,-,,
5997,協立エアテック,金属製品,-,金属製品・金属加工,rule
7953,菊水化学工業,その他製品,-,,
5363,東京窯業,ガラス・土石製品,-,ガラス・セラミックス・ゴム,rule
1887,日本国土開発,建設業,TOPIX Small 2,,
1793,大本組,建設業,-,,
7872,エステールホールディングス,その他製品,-,,
3417,大木ヘルスケアホールディングス,卸売業,-,,
3277,サンセイランディック,不動産業,-,,
6349,小森コーポレーション,機械,TOPIX Small 1,,
7614,オーエムツーネットワーク,小売業,-,,
8075,神鋼商事,卸売業,TOPIX Small 2,,
6360,東京自働機械製作所,機械,-,,
9414,日本ＢＳ放送,情報・通信業,-,,
6907,ジオマテック,電気機器,-,,
3641,パピレス,情報・通信業,-,,
2654,アスモ,小売業,-,,
1376,カネコ種苗,水産・農林業,TOPIX Small 2,資源・エネルギー・農林水産,rule
3953,大村紙業,パルプ・紙,-,繊維・紙パルプ,rule
5440,共英製鋼,鉄鋼,TOPIX Small 1,鉄鋼・非鉄金属,rule
4829,日本エンタープライズ,情報・通信業,-,,
