コード,新業種,source
5440,鉄鋼・非鉄金属,det
4829,ソフトウェア・SaaS,gics
2449,広告・PR・マーケティング,summary
6358,産業機械・工作機械,summary
5958,金属製品・金属加工,det
3597,繊維・紙パルプ,det
8093,総合商社・貿易,summary
5388,ガラス・セラミックス・ゴム,det
4548,医薬品・バイオ,det
3388,機械・電子部品卸,keyword
7859,住宅設備・家具・生活用品,default
6485,産業機械・工作機械,default
8123,建材・資材・エネルギー卸,default
5304,ガラス・セラミックス・ゴム,det
8935,不動産開発・デベロッパー,summary
6419,産業機械・工作機械,default
9425,SI・受託開発(中堅),default
7896,住宅設備・家具・生活用品,summary
5368,ガラス・セラミックス・ゴム,det
6619,重電・産業用電機,gics
6482,自動化・ロボティクス,summary
7820,住宅設備・家具・生活用品,summary
1905,ゼネコン・総合建設,summary
3958,繊維・紙パルプ,det
6919,電子部品・デバイス,summary
2999,不動産開発・デベロッパー,default
7565,機械・電子部品卸,gics
2700,建材・資材・エネルギー卸,default
8150,機械・電子部品卸,keyword
3176,機械・電子部品卸,gics
7677,建材・資材・エネルギー卸,default
8084,総合商社・貿易,summary
8844,不動産管理・仲介・賃貸,summary
4119,機能性化学・先端材料,gics
7602,建材・資材・エネルギー卸,default
7551,自動車・輸送用機器,det
3321,建材・資材・エネルギー卸,default
6165,産業機械・工作機械,default
9820,不動産開発・デベロッパー,default
3513,繊維・紙パルプ,det
4308,Webプラットフォーム・EC,summary
6149,産業機械・工作機械,default
7681,総合商社・貿易,summary
1768,ゼネコン・総合建設,summary
7925,基礎化学・石油化学,gics
6418,産業機械・工作機械,default
7265,自動車・輸送用機器,det
6091,コンサルティング・BPO,summary
7235,自動車・輸送用機器,det
8045,食品・農産物卸,summary
548A,AI・データ・IoT,summary
6118,自動化・ロボティクス,summary
6730,半導体・半導体製造装置,summary
6245,産業機械・工作機械,summary
6858,電子部品・デバイス,summary
8103,建材・資材・エネルギー卸,summary
5871,コンサルティング・BPO,summary
3577,繊維・紙パルプ,det
7446,総合商社・貿易,summary
3674,Webプラットフォーム・EC,summary
4301,広告・PR・マーケティング,summary
5464,鉄鋼・非鉄金属,det
7544,食品スーパー・コンビニ,gics
8700,証券・保険・その他金融,det
4628,日用化学品・化粧品,summary
9478,ゲーム・デジタルコンテンツ,gics
4996,基礎化学・石油化学,gics
6365,産業機械・工作機械,summary
189A,人材サービス・派遣,summary
2385,エンタメ・スポーツ・その他サービス,default
9980,飲食チェーン・中食,summary
5757,鉄鋼・非鉄金属,det
6678,民生電機・情報端末,default
6463,自動化・ロボティクス,summary
9760,教育・研修・資格,summary
1899,ゼネコン・総合建設,summary
3943,繊維・紙パルプ,det
1724,ゼネコン・総合建設,default
2329,通信キャリア・放送,summary
3580,繊維・紙パルプ,det
6022,産業機械・工作機械,default
6915,民生電機・情報端末,summary
1807,ゼネコン・総合建設,summary
7314,自動車・輸送用機器,det
3653,AI・データ・IoT,summary
9857,建材・資材・エネルギー卸,default
2911,調味料・菓子・冷凍食品,summary
8152,建材・資材・エネルギー卸,default
373A,機能性化学・先端材料,default
8202,飲食チェーン・中食,summary
3802,ゲーム・デジタルコンテンツ,summary
8104,建材・資材・エネルギー卸,summary
4925,日用化学品・化粧品,summary
4299,ソフトウェア・SaaS,gics
6804,電子部品・デバイス,summary
3434,金属製品・金属加工,det
248A,ソフトウェア・SaaS,gics
1826,ゼネコン・総合建設,summary
6382,建設機械・農業機械,summary
8572,証券・保険・その他金融,det
9625,環境・リサイクル・ビル管理,summary
4936,日用化学品・化粧品,summary
6494,産業機械・工作機械,default
7689,総合商社・貿易,keyword
2735,衣料・家電・専門店,summary
6229,産業機械・工作機械,summary
2425,医療・介護・福祉サービス,summary
6882,半導体・半導体製造装置,summary
9845,日用化学品・化粧品,summary
7952,玩具・スポーツ・文具・雑貨,summary
6894,電子部品・デバイス,summary
7607,建材・資材・エネルギー卸,default
1770,ゼネコン・総合建設,gics
6488,産業機械・工作機械,summary
4120,日用化学品・化粧品,summary
6647,電子部品・デバイス,summary
7847,住宅設備・家具・生活用品,default
9253,人材サービス・派遣,summary
3291,不動産開発・デベロッパー,summary
167A,機械・電子部品卸,gics
7487,建材・資材・エネルギー卸,default
8622,証券・保険・その他金融,det
5129,ソフトウェア・SaaS,summary
5218,ガラス・セラミックス・ゴム,det
3816,ソフトウェア・SaaS,summary
7128,建材・資材・エネルギー卸,summary
7510,総合商社・貿易,summary
1866,ゼネコン・総合建設,summary
8616,証券・保険・その他金融,det
3139,建材・資材・エネルギー卸,default
220A,ソフトウェア・SaaS,gics
9475,ゲーム・デジタルコンテンツ,gics
4761,サイバーセキュリティ・クラウド,summary
3435,金属製品・金属加工,det
8705,証券・保険・その他金融,det
1798,ゼネコン・総合建設,summary
5449,鉄鋼・非鉄金属,det
1879,ゼネコン・総合建設,summary
4534,医薬品・バイオ,det
2009,調味料・菓子・冷凍食品,summary
6338,産業機械・工作機械,default
5461,鉄鋼・非鉄金属,det
6104,自動化・ロボティクス,summary
2693,総合商社・貿易,summary
7185,証券・保険・その他金融,det
7946,住宅設備・家具・生活用品,default
4547,医薬品・バイオ,det
6832,半導体・半導体製造装置,summary
7313,自動車・輸送用機器,det
1847,ゼネコン・総合建設,summary
2483,人材サービス・派遣,summary
1867,設備工事・専門工事,summary
7228,自動車・輸送用機器,det
4406,日用化学品・化粧品,summary
6265,自動化・ロボティクス,summary
9996,食品・農産物卸,gics
9339,教育・研修・資格,gics
1811,ゼネコン・総合建設,gics
8041,建材・資材・エネルギー卸,default
5458,鉄鋼・非鉄金属,det
9908,建材・資材・エネルギー卸,default
7567,機械・電子部品卸,keyword
6030,ホテル・旅行・レジャー,summary
9755,コンサルティング・BPO,summary
5189,ガラス・セラミックス・ゴム,det
8101,建材・資材・エネルギー卸,default
2108,食品製造・飲料・酒類,summary
4918,日用化学品・化粧品,summary
3512,繊維・紙パルプ,det
3089,総合商社・貿易,summary
5976,金属製品・金属加工,det
1430,ゼネコン・総合建設,summary
8871,不動産管理・仲介・賃貸,summary
6706,民生電機・情報端末,default
1716,ゼネコン・総合建設,summary
3766,サイバーセキュリティ・クラウド,summary
6034,人材サービス・派遣,summary
5820,鉄鋼・非鉄金属,det
6038,広告・PR・マーケティング,summary
7287,自動車・輸送用機器,det
9906,建材・資材・エネルギー卸,default
6737,民生電機・情報端末,default
4591,医薬品・バイオ,det
5906,金属製品・金属加工,det
7922,住宅設備・家具・生活用品,default
6430,産業機械・工作機械,default
4429,SI・受託開発(中堅),summary
3932,ゲーム・デジタルコンテンツ,summary
3437,金属製品・金属加工,det
9955,建材・資材・エネルギー卸,default
6337,産業機械・工作機械,default
7523,衣料・家電・専門店,default
4116,日用化学品・化粧品,summary
9647,人材サービス・派遣,summary
6316,産業機械・工作機械,summary
3377,建材・資材・エネルギー卸,default
7444,総合商社・貿易,keyword
2613,食品製造・飲料・酒類,gics
1822,ゼネコン・総合建設,summary
6572,広告・PR・マーケティング,summary
8098,建材・資材・エネルギー卸,default
6496,産業機械・工作機械,summary
4229,機能性化学・先端材料,gics
7031,コンサルティング・BPO,summary
8185,衣料・家電・専門店,gics
1981,設備工事・専門工事,summary
5816,鉄鋼・非鉄金属,det
1788,ゼネコン・総合建設,summary
2481,広告・PR・マーケティング,summary
7192,証券・保険・その他金融,det
6918,民生電機・情報端末,default
8737,証券・保険・その他金融,det
6417,産業機械・工作機械,summary
1786,ゼネコン・総合建設,summary
1972,設備工事・専門工事,gics
6540,コンサルティング・BPO,summary
3908,ソフトウェア・SaaS,summary
7370,コンサルティング・BPO,summary
5451,鉄鋼・非鉄金属,det
6927,民生電機・情報端末,gics
7983,住宅設備・家具・生活用品,default
4316,通信キャリア・放送,summary
7613,機械・電子部品卸,summary
8877,不動産管理・仲介・賃貸,summary
9726,人材サービス・派遣,summary
6848,民生電機・情報端末,default
6484,産業機械・工作機械,default
5125,SI・受託開発(中堅),default
6279,産業機械・工作機械,default
9363,貨物・物流・倉庫,det
1888,ゼネコン・総合建設,gics
7955,住宅設備・家具・生活用品,gics
3553,基礎化学・石油化学,gics
7833,住宅設備・家具・生活用品,default
2763,建材・資材・エネルギー卸,default
7460,総合商社・貿易,summary
7527,SI・受託開発(中堅),summary
9902,総合商社・貿易,summary
2053,食品製造・飲料・酒類,gics
3682,SI・受託開発(中堅),default
2961,金属製品・金属加工,det
4059,Webプラットフォーム・EC,summary
2121,通信キャリア・放送,summary
4635,日用化学品・化粧品,summary
1443,ゼネコン・総合建設,gics
7722,計測・分析・光学機器,det
8091,建材・資材・エネルギー卸,default
9888,建材・資材・エネルギー卸,summary
4754,環境・リサイクル・ビル管理,summary
6047,広告・PR・マーケティング,summary
5542,鉄鋼・非鉄金属,det
9248,コンサルティング・BPO,summary
7292,自動車・輸送用機器,det
5959,金属製品・金属加工,det
4990,日用化学品・化粧品,summary
7077,広告・PR・マーケティング,summary
4772,通信キャリア・放送,summary
7208,自動車・輸送用機器,det
3431,金属製品・金属加工,det
7539,建材・資材・エネルギー卸,gics
8742,証券・保険・その他金融,det
9408,通信キャリア・放送,summary
3930,ゲーム・デジタルコンテンツ,summary
8014,建材・資材・エネルギー卸,default
6870,半導体・半導体製造装置,summary
6897,民生電機・情報端末,summary
4620,日用化学品・化粧品,summary
9466,AI・データ・IoT,summary
4934,日用化学品・化粧品,summary
4623,日用化学品・化粧品,summary
4388,SI・受託開発(中堅),default
3826,ソフトウェア・SaaS,gics
3839,SI・受託開発(中堅),default
2408,人材サービス・派遣,summary
7351,人材サービス・派遣,summary
4095,日用化学品・化粧品,summary
6063,医療・介護・福祉サービス,gics
1795,設備工事・専門工事,summary
3903,ゲーム・デジタルコンテンツ,summary
6626,電子部品・デバイス,summary
196A,証券・保険・その他金融,det
3071,EC・通販・無店舗販売,summary
5357,ガラス・セラミックス・ゴム,det
4992,基礎化学・石油化学,gics
6794,民生電機・情報端末,summary
5695,鉄鋼・非鉄金属,det
8137,機械・電子部品卸,gics
3911,ゲーム・デジタルコンテンツ,summary
331A,広告・PR・マーケティング,summary
4512,医薬品・バイオ,det
5410,鉄鋼・非鉄金属,det
9404,通信キャリア・放送,summary
9990,衣料・家電・専門店,summary
1799,ゼネコン・総合建設,summary
3143,食品・農産物卸,gics
5967,金属製品・金属加工,det
6637,重電・産業用電機,gics
2330,ゲーム・デジタルコンテンツ,summary
304A,SI・受託開発(中堅),default
6384,産業機械・工作機械,summary
6517,重電・産業用電機,summary
3622,SI・受託開発(中堅),summary
9563,コンサルティング・BPO,summary
6505,民生電機・情報端末,default
6905,半導体・半導体製造装置,summary
2819,調味料・菓子・冷凍食品,summary
5527,不動産開発・デベロッパー,summary
5983,金属製品・金属加工,det
8747,証券・保険・その他金融,det
8052,機械・電子部品卸,gics
4351,証券・保険・その他金融,det
7600,計測・分析・光学機器,det
7046,人材サービス・派遣,summary
7140,EC・通販・無店舗販売,summary
6580,コンサルティング・BPO,summary
6676,半導体・半導体製造装置,summary
7916,住宅設備・家具・生活用品,default
7878,住宅設備・家具・生活用品,default
7965,民生電機・情報端末,default
1780,ゼネコン・総合建設,summary
3352,飲食チェーン・中食,summary
6599,民生電機・情報端末,default
4994,機能性化学・先端材料,default
5131,ソフトウェア・SaaS,summary
8023,サイバーセキュリティ・クラウド,summary
7837,住宅設備・家具・生活用品,default
3416,EC・通販・無店舗販売,gics
4728,ゲーム・デジタルコンテンツ,summary
7782,計測・分析・光学機器,det
8127,繊維・紙パルプ,det
7213,自動車・輸送用機器,det
7299,自動車・輸送用機器,det
8158,建材・資材・エネルギー卸,summary
3079,建材・資材・エネルギー卸,default
6161,自動化・ロボティクス,summary
8999,不動産管理・仲介・賃貸,summary
7466,建材・資材・エネルギー卸,default
8066,建材・資材・エネルギー卸,summary
8226,建材・資材・エネルギー卸,default
3299,不動産管理・仲介・賃貸,summary
5957,金属製品・金属加工,det
4725,通信キャリア・放送,summary
3550,衣料・家電・専門店,default
9739,AI・データ・IoT,summary
7989,金属製品・金属加工,det
3375,衣料・家電・専門店,summary
6552,エンタメ・スポーツ・その他サービス,default
3646,Webプラットフォーム・EC,gics
7940,基礎化学・石油化学,summary
4736,AI・データ・IoT,summary
8946,不動産管理・仲介・賃貸,summary
3266,不動産管理・仲介・賃貸,summary
7634,医薬品卸・その他専門卸,gics
6664,民生電機・情報端末,default
8059,建材・資材・エネルギー卸,summary
3800,ソフトウェア・SaaS,summary
9193,貨物・物流・倉庫,det
5911,金属製品・金属加工,det
7296,自動車・輸送用機器,det
5240,ソフトウェア・SaaS,gics
4094,日用化学品・化粧品,summary
3023,総合商社・貿易,keyword
6923,電子部品・デバイス,summary
3267,ゼネコン・総合建設,summary
3799,通信キャリア・放送,summary
2479,人材サービス・派遣,summary
9409,通信キャリア・放送,summary
4076,ゲーム・デジタルコンテンツ,summary
7849,ゲーム・デジタルコンテンツ,summary
7425,建材・資材・エネルギー卸,summary
3760,ゲーム・デジタルコンテンツ,summary
6741,電子部品・デバイス,summary
3306,建材・資材・エネルギー卸,default
6247,自動化・ロボティクス,summary
4893,医薬品・バイオ,det
5184,ガラス・セラミックス・ゴム,det
9799,SI・受託開発(中堅),summary
8077,機械・電子部品卸,gics
8011,繊維・紙パルプ,det
9330,人材サービス・派遣,summary
6844,半導体・半導体製造装置,summary
2883,調味料・菓子・冷凍食品,summary
6069,広告・PR・マーケティング,gics
2806,調味料・菓子・冷凍食品,summary
7501,建材・資材・エネルギー卸,default
6248,産業機械・工作機械,summary
3772,不動産開発・デベロッパー,gics
6033,エンタメ・スポーツ・その他サービス,default
6489,産業機械・工作機械,summary
8707,証券・保険・その他金融,det
2411,通信キャリア・放送,summary
6769,半導体・半導体製造装置,summary
7938,住宅設備・家具・生活用品,default
4616,日用化学品・化粧品,summary
4880,医薬品・バイオ,det
7447,建材・資材・エネルギー卸,default
6809,電子部品・デバイス,summary
1964,ゼネコン・総合建設,default
7962,玩具・スポーツ・文具・雑貨,summary
7804,住宅設備・家具・生活用品,summary
9986,機械・電子部品卸,gics
5302,ガラス・セラミックス・ゴム,det
9753,SI・受託開発(中堅),summary
8118,繊維・紙パルプ,det
7483,建材・資材・エネルギー卸,default
6864,電子部品・デバイス,summary
130A,医薬品・バイオ,det
3611,繊維・紙パルプ,det
1911,ゼネコン・総合建設,default
2349,通信キャリア・放送,summary
9827,建材・資材・エネルギー卸,default
7813,住宅設備・家具・生活用品,summary
3948,繊維・紙パルプ,det
6763,電子部品・デバイス,summary
4769,SI・受託開発(中堅),summary
7723,計測・分析・光学機器,det
7417,総合商社・貿易,summary
4619,日用化学品・化粧品,summary
6345,建設機械・農業機械,gics
8945,不動産管理・仲介・賃貸,summary
8043,建材・資材・エネルギー卸,default
3636,DX支援・ITコンサルティング,summary
6405,産業機械・工作機械,default
4356,DX支援・ITコンサルティング,summary
6901,重電・産業用電機,summary
7590,建材・資材・エネルギー卸,default
6209,産業機械・工作機械,summary
1810,ゼネコン・総合建設,summary
9698,ソフトウェア・SaaS,summary
6282,産業機械・工作機械,summary
9994,飲食チェーン・中食,summary
256A,ゼネコン・総合建設,summary
6267,産業機械・工作機械,default
7039,コンサルティング・BPO,summary
8006,総合商社・貿易,summary
7749,計測・分析・光学機器,det
3571,繊維・紙パルプ,det
3670,ソフトウェア・SaaS,summary
7067,人材サービス・派遣,summary
4069,ソフトウェア・SaaS,gics
3913,通信キャリア・放送,summary
7800,玩具・スポーツ・文具・雑貨,summary
7459,医薬品卸・その他専門卸,summary
1514,資源・エネルギー・農林水産,det
2831,調味料・菓子・冷凍食品,summary
7112,衣料・家電・専門店,summary
3848,SI・受託開発(中堅),summary
4997,基礎化学・石油化学,gics
6156,産業機械・工作機械,default
1997,設備工事・専門工事,summary
4883,医薬品・バイオ,det
6157,産業機械・工作機械,default
6445,自動化・ロボティクス,summary
5186,ガラス・セラミックス・ゴム,det
6926,電子部品・デバイス,summary
5122,ガラス・セラミックス・ゴム,det
7305,鉄鋼・非鉄金属,det
6246,産業機械・工作機械,default
7087,人材サービス・派遣,summary
9991,建材・資材・エネルギー卸,default
3159,衣料・家電・専門店,summary
1960,設備工事・専門工事,summary
3627,AI・データ・IoT,summary
3482,不動産管理・仲介・賃貸,summary
2153,エンタメ・スポーツ・その他サービス,default
2908,調味料・菓子・冷凍食品,summary
3529,繊維・紙パルプ,det
9441,SI・受託開発(中堅),default
4719,通信キャリア・放送,summary
6291,産業機械・工作機械,default
9622,広告・PR・マーケティング,summary
9341,エンタメ・スポーツ・その他サービス,default
9780,広告・PR・マーケティング,summary
6103,建設機械・農業機械,summary
6863,民生電機・情報端末,default
5939,金属製品・金属加工,det
7525,建材・資材・エネルギー卸,default
4247,日用化学品・化粧品,summary
6286,自動化・ロボティクス,summary
8219,飲食チェーン・中食,summary
1762,ゼネコン・総合建設,summary
3559,建材・資材・エネルギー卸,default
3355,機械・電子部品卸,gics
4270,DX支援・ITコンサルティング,summary
6898,電子部品・デバイス,summary
5619,Webプラットフォーム・EC,summary
6230,産業機械・工作機械,summary
7931,機能性化学・先端材料,default
3825,衣料・家電・専門店,default
3665,Webプラットフォーム・EC,keyword
198A,ソフトウェア・SaaS,gics
4287,SI・受託開発(中堅),default
5982,金属製品・金属加工,det
7482,建材・資材・エネルギー卸,default
6998,重電・産業用電機,summary
8154,機械・電子部品卸,keyword
1835,設備工事・専門工事,summary
7294,自動車・輸送用機器,det
1828,ゼネコン・総合建設,summary
8018,建材・資材・エネルギー卸,default
6364,建設機械・農業機械,summary
4265,AI・データ・IoT,summary
9476,ゲーム・デジタルコンテンツ,gics
1914,ゼネコン・総合建設,summary
3302,繊維・紙パルプ,det
7477,建材・資材・エネルギー卸,default
7713,計測・分析・光学機器,det
8085,機械・電子部品卸,gics
244A,SI・受託開発(中堅),default
6309,産業機械・工作機械,default
4978,機能性化学・先端材料,default
2185,エンタメ・スポーツ・その他サービス,default
5943,金属製品・金属加工,det
4540,医薬品・バイオ,det
3698,ゲーム・デジタルコンテンツ,summary
5142,基礎化学・石油化学,gics
3421,金属製品・金属加工,det
192A,コンサルティング・BPO,summary
4434,ソフトウェア・SaaS,gics
7433,建材・資材・エネルギー卸,default
6322,産業機械・工作機械,summary
5576,ソフトウェア・SaaS,summary
4471,日用化学品・化粧品,summary
6125,産業機械・工作機械,summary
4767,広告・PR・マーケティング,summary
7807,住宅設備・家具・生活用品,gics
6912,重電・産業用電機,gics
5237,ガラス・セラミックス・ゴム,det
9413,通信キャリア・放送,summary
9344,人材サービス・派遣,summary
4394,SI・受託開発(中堅),default
6592,重電・産業用電機,summary
8029,繊維・紙パルプ,det
7769,計測・分析・光学機器,det
6493,自動車・輸送用機器,det
8708,証券・保険・その他金融,det
7860,ゲーム・デジタルコンテンツ,summary
7079,人材サービス・派遣,summary
2792,衣料・家電・専門店,summary
4376,SI・受託開発(中堅),default
4524,医薬品・バイオ,det
4752,SI・受託開発(中堅),summary
3940,AI・データ・IoT,summary
1976,設備工事・専門工事,summary
4112,日用化学品・化粧品,summary
6742,電子部品・デバイス,summary
4372,ソフトウェア・SaaS,gics
3768,SI・受託開発(中堅),default
6239,産業機械・工作機械,default
483A,通信キャリア・放送,summary
